uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
74a065c4-0e96-68a1-eb7a-f0cfc9ecfc53,2,2,4,0.2775,20.0,17.0,13.0,15.0,20.0,13.0
28a9c241-e49d-f8aa-8d97-60d7d226f439,17,17,5,0.946353590194444,17.0,13.0,14.0,13.0,17.0,13.0
2649ebb2-8cf2-6d45-87e6-fb51eecdc72e,12,12,5,0.8790945064342538,19.0,15.0,12.0,11.0,17.0,11.0
e608e39a-d166-e7fe-02a5-563d4fc33031,4,4,5,0.47799375,19.0,15.0,10.0,16.0,18.0,10.0
02d80b98-e3e5-467a-a57b-a0d5f5937b68,7,7,5,0.67942291171875,18.0,12.0,11.0,10.0,15.0,10.0
701bde08-4268-ea55-cd5d-a51c265744b6,6,6,5,0.622850484375,31.0,26.0,23.0,25.0,29.0,23.0
c6cc0db0-5d06-45af-9b84-cef3945c5241,11,11,5,0.8326567563103858,18.0,10.0,9.0,12.0,13.0,9.0
e6537150-7a06-43aa-b36d-db3ae4a36250,1,1,2,0.15,23.0,21.0,20.0,20.0,24.0,20.0
20f72288-ed6f-402b-b028-35c085baafe5,2,2,2,0.385875,33.0,28.0,27.0,28.0,32.0,27.0
2bc46e47-23fc-014f-fa8e-a792043840a2,2,2,2,0.385875,27.0,22.0,21.0,21.0,26.0,21.0
b4257f04-622f-436f-90e0-2952a5991c97,1,1,2,0.15,30.0,23.0,22.0,23.0,27.0,22.0
6b1dbae6-fef3-1a6a-1780-23da5e309a64,2,2,4,0.2775,21.0,17.0,15.0,13.0,18.0,13.0
16bc3c90-e7de-43f5-a53d-a339532c0d08,4,4,5,0.47799375,27.0,24.0,22.0,23.0,26.0,22.0
1f5a2403-61a4-4dfd-8a72-ec171c622cc3,1,1,2,0.15,29.0,24.0,22.0,23.0,27.0,22.0
947493ab-4611-16d8-65b0-b7fbf819328c,4,4,5,0.47799375,16.0,11.0,10.0,11.0,14.0,10.0
81c35110-6849-4121-bbd4-3d81461ed0e6,36,36,5,0.9971220627149744,16.0,11.0,10.0,10.0,14.0,10.0
8ee525e7-6b99-3e83-fdf9-79563cee2086,8,8,5,0.7275094749609375,18.0,12.0,12.0,11.0,14.0,11.0
b53a496d-6a79-4b60-87d4-b2c5a32b60c7,1,1,2,0.15,28.0,21.0,21.0,21.0,26.0,21.0
2bf54f4e-3d9f-4aa8-aa59-9f2fe3043131,2,2,4,0.2775,29.0,24.0,22.0,22.0,27.0,22.0
f4982a67-ce3e-42c4-a019-749038924e68,4,4,4,0.5562946875,26.0,17.0,17.0,19.0,24.0,17.0
1589b61c-e622-0409-6752-df628d8fa512,1,1,2,0.15,23.0,17.0,17.0,18.0,21.0,17.0
e5b2da17-8b25-44c9-97bc-10cb67ce6c1f,2,2,4,0.2775,26.0,20.0,20.0,18.0,23.0,18.0
