__id,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3
7ac115ea-fa39-b03e-3282-1f1fa29ffa71,0.2821462683240249,0.5562946875,5,0,0,0.8392665356575487,0.5562946875,5,5,0.28340297917579654,0.5562946875,3,5,0,0,3.0,3.0,3.0,3.0,3.0,3.0,16.0,15.0,13.0,13.0,18.0,13.0,5,5,5
f542e2f9-a233-4cad-bedc-086f97c08483,0.15,0.0,0,1,0,0.24770983866134066,0.15,1,1,0.15,0.0,1,0,1,0,4.0,4.0,4.0,4.0,4.0,4.0,23.0,16.0,18.0,15.0,22.0,15.0,2,1,1
1d174a2a-9f23-2979-0b22-1853ee2421a3,0.48193965517241383,0.7275094749609375,8,28,0,3.2112918686862586,0.9975537533077282,36,36,0.48405,0.7275094749609375,5,8,23,0,2.0,2.0,3.0,4.0,2.0,2.0,16.0,10.0,10.0,10.0,14.0,10.0,5,31,31
3aca2994-0b5d-4f3c-8962-823b6e66a59c,0.40499999999999997,0.622850484375,6,0,0,1.4416510262584659,0.622850484375,6,6,0.40499999999999997,0.622850484375,3,6,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,6,6
a944a099-fd58-4df3-92a8-9045d1ef77e0,0.15210915630848879,0.15,1,0,0,0.22696635835716306,0.15,1,1,0.1530299920352552,0.15,1,1,0,0,3.0,3.0,3.0,3.0,4.0,3.0,20.0,17.0,16.0,15.0,21.0,15.0,2,1,1
906d3a37-4716-9ee7-4cfa-e2b3dc1dbac3,0.26529879902370423,0.9544005516652773,19,0,8,1.609721295093805,0.9544005516652773,19,19,0.2519366301125668,0.9463535901944439,5,18,0,8,3.0,3.0,3.0,3.0,3.0,3.0,16.0,10.0,9.0,10.0,13.0,9.0,5,18,18
c586c718-5195-4e01-9f55-cef44c764931,0.1502534402030664,0.15,1,0,0,0.35019377693873843,0.15,1,1,0.1502792585296479,0.15,1,1,0,0,3.0,4.0,4.0,5.0,4.0,3.0,24.0,17.0,16.0,17.0,20.0,16.0,2,1,1
0c205eba-c7e0-41cf-8849-c6b19a47342e,0.27749999999999997,0.15,1,0,0,1.0,1.0,1,1,0.27749999999999997,0.15,1,1,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,2,1,1
75af0a35-d724-ec6a-6c00-21d17f384051,0.17266666666666666,0.27749999999999997,2,0,0,0.3924239589018574,0.27749999999999997,2,2,0.17266666666666666,0.27749999999999997,2,2,0,0,4.0,4.0,5.0,5.0,4.0,4.0,18.0,13.0,14.0,12.0,18.0,12.0,4,2,2
67e16bc7-d1c8-4953-a063-4fdd7d2c4be5,0.15,0.0,0,1,0,0.26664955940102286,0.15,1,1,0.15,0.0,1,0,1,0,4.0,4.0,4.0,6.0,4.0,4.0,29.0,22.0,23.0,23.0,27.0,22.0,2,1,1
0a1094cc-4457-f5cf-5af4-7ee9d901579e,5.072491576951959,0.9999999999999944,202,0,45,18.458071078952987,0.9999999999999944,202,202,5.110287939261912,0.9999999999993842,5,173,0,24,3.0,3.0,2.0,3.0,3.0,2.0,16.0,9.0,8.0,8.0,13.0,8.0,5,173,173
81e512d7-a8be-a1dd-5211-e5eb69408c1a,0.2775,0.38587499999999997,3,0,0,1.0,0.38587499999999997,3,3,0.2775,0.38587499999999997,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3
8f99ee33-683a-48ad-b27f-72658c3f9a1a,0.5325,0.7683830537167969,9,0,0,1.8833020525169322,0.7683830537167969,9,9,0.5325,0.7683830537167969,3,9,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,9,9
3a422b18-49cd-cdcd-9fee-f63377ff9169,0.15,0.0,0,3,0,0.957780039000723,0.47799375,3,3,0.15,0.0,2,0,3,0,4.0,4.0,4.0,5.0,5.0,4.0,28.0,23.0,19.0,23.0,26.0,19.0,4,3,3
4f5aa87e-ac42-4bd6-834b-ce3440ef0c97,0.15,0.0,0,1,0,0.4516069632815968,0.15,1,1,0.15,0.0,1,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,28.0,23.0,22.0,22.0,24.0,22.0,2,1,1
5eb3f115-27aa-ac6a-1ec8-d2422ea6c439,0.8831249999999998,0.9257489137639361,16,0,0,3.2123651229795573,0.9368865766993457,16,16,0.8831249999999999,0.9257489137639361,3,16,0,0,6.0,5.0,5.0,7.0,6.0,5.0,23.0,19.0,18.0,19.0,23.0,18.0,5,16,16
f4924ed5-32e2-42c9-8160-b3508d1f192a,0.4198978216818642,0.622850484375,6,0,0,1.1185549519363935,0.67942291171875,6,6,0.41579671717171707,0.5562946875,3,5,0,0,3.0,5.0,4.0,3.0,5.0,3.0,23.0,18.0,17.0,16.0,21.0,16.0,5,5,5
70b9cc17-2f06-7673-02a3-f71f2c7319f9,0.16471153846153844,0.38587499999999997,3,0,0,0.38301122189239317,0.38587499999999997,3,3,0.16738636363636364,0.38587499999999997,3,3,0,0,5.0,5.0,4.0,5.0,5.0,4.0,17.0,13.0,11.0,12.0,16.0,11.0,5,3,3
b2aeabb3-38fa-4dcd-2d67-bee16060642e,0.16416666666666666,0.15,1,0,0,0.2855509660462817,0.15,1,1,0.16416666666666666,0.15,1,1,0,0,5.0,4.0,5.0,5.0,4.0,4.0,18.0,12.0,12.0,12.0,17.0,12.0,2,1,1
500a13a0-87f3-6ada-0d7a-6b9610caf350,0.16416666666666666,0.15,1,0,0,0.2855509660462817,0.15,1,1,0.16416666666666666,0.15,1,1,0,0,5.0,4.0,5.0,5.0,4.0,4.0,18.0,12.0,12.0,12.0,17.0,12.0,2,1,1
77a5881d-7a42-f1d0-0c24-98467a96388d,0.18885714285714286,0.38587499999999997,3,0,0,0.45973022712376166,0.38587499999999997,3,3,0.19781249999999997,0.38587499999999997,3,3,0,0,4.0,4.0,4.0,4.0,4.0,4.0,17.0,12.0,11.0,10.0,16.0,10.0,5,3,3
56ae0906-9932-9ebf-574a-31f0299524b7,0.203125,0.27749999999999997,2,0,0,0.41999195276988693,0.27749999999999997,2,2,0.20737499999999998,0.27749999999999997,2,2,0,0,5.0,4.0,5.0,5.0,5.0,4.0,17.0,14.0,13.0,14.0,16.0,13.0,4,2,2
c9a67a84-b8b8-9c9e-899a-2a8974a7eb98,0.24714285714285714,0.47799375,4,0,0,0.9351865313298303,0.47799375,4,4,0.24714285714285714,0.47799375,2,4,0,0,4.0,5.0,4.0,5.0,5.0,4.0,14.0,11.0,10.0,11.0,14.0,10.0,4,4,4
6a3c8024-d7c1-4ba7-aaee-74cdfe4344bc,0.15,0.0,0,1,0,0.2370152532167804,0.15,1,1,0.15,0.0,1,0,1,0,4.0,4.0,4.0,4.0,4.0,4.0,26.0,18.0,19.0,20.0,23.0,18.0,2,1,1
94df92d2-2352-4978-ba0c-a154dc8bff2d,0.18774982993197276,0.15,1,0,0,0.2581247974490942,0.15,1,1,0.19404146825396823,0.15,1,1,0,0,4.0,5.0,5.0,5.0,5.0,4.0,23.0,17.0,17.0,17.0,21.0,17.0,2,1,1
9e58f16c-1d28-4efe-a558-0305f0302809,0.21374999999999997,0.38587499999999997,3,0,0,0.7791744868707667,0.38587499999999997,3,3,0.21374999999999997,0.38587499999999997,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3
f2d8abc0-68b1-7cd7-95e7-e3756c0ad73d,0.29038281250000003,0.47799375,4,0,0,0.8520978080195909,0.47799375,4,4,0.2915539772727273,0.47799375,3,4,0,0,5.0,4.0,5.0,5.0,4.0,4.0,25.0,20.0,20.0,19.0,24.0,19.0,5,4,4
faf13ebb-1c5b-0725-697c-fbb35cb9f7f6,0.15,0.0,0,1,0,0.25795364732901005,0.15,1,1,0.15,0.0,1,0,1,0,4.0,4.0,4.0,4.0,5.0,4.0,24.0,20.0,19.0,19.0,23.0,19.0,2,1,1
c5ed54b9-dbdc-bef7-dab4-3409de5ec616,0.3735669828471232,0.7275094749609375,8,0,2,1.3337451482420053,0.7275094749609375,8,8,0.37671032066182464,0.7275094749609375,4,8,0,2,4.0,4.0,4.0,4.0,4.0,4.0,21.0,15.0,15.0,15.0,18.0,15.0,5,8,8
46a056b6-2d99-4182-a171-a88a17774262,0.6599999999999999,0.857758242863828,12,0,0,2.324953078775399,0.857758242863828,12,12,0.6599999999999999,0.857758242863828,3,12,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,12,12
