uuid,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3,spath,w_spath
627ef187-e48b-4d13-9307-b39dc88bfd2e,0.2775,0.385875,3,0,0,1.0,0.385875,3,3,0.2775,0.385875,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3,0.0,0.0
4e4920c8-d531-4ad8-a018-81e133890c60,0.16896183035714285,0.15,1,0,0,0.2839427078486609,0.15,1,1,0.17142265625,0.15,1,1,0,0,5.0,4.0,5.0,5.0,5.0,4.0,24.0,16.0,17.0,18.0,21.0,16.0,2,1,1,3.0,8.0
340448e4-22e1-7420-15c1-8e016faf4731,0.15070978265344262,0.15,1,0,0,0.2496703352975132,0.15,1,1,0.15093203531640034,0.15,1,1,0,0,3.0,4.0,5.0,5.0,4.0,3.0,23.0,18.0,15.0,16.0,22.0,15.0,2,1,1,2.0,10.0
7f2838ee-a9ed-4dc4-a45c-e03fd9d80d8a,0.235,0.2775,2,0,0,0.5610528624405132,0.2775,2,2,0.235,0.2775,2,2,0,0,5.0,4.0,5.0,5.0,5.0,4.0,17.0,12.0,13.0,14.0,17.0,12.0,4,2,2,0.0,0.0
ef632aaf-56e6-e9a8-9fca-dcab8cec74b6,0.1978125,0.385875,3,0,0,0.7522747668300348,0.385875,3,3,0.1978125,0.385875,3,3,0,0,6.0,4.0,6.0,6.0,5.0,4.0,25.0,19.0,20.0,15.0,22.0,15.0,5,3,3,4.0,12.0
f12db20d-3c6e-465c-aa6b-89dbd906a198,0.2873076923076923,0.47799375,4,0,0,1.0667255670485778,0.47799375,4,4,0.2873076923076923,0.47799375,3,4,0,0,5.0,6.0,7.0,7.0,6.0,5.0,30.0,25.0,24.0,22.0,27.0,22.0,5,4,4,3.0,17.0
246d9659-7d45-4a0b-b606-21b36536921b,0.1710644966755191,0.15,1,0,0,0.2336265332144133,0.15,1,1,0.18124962826236266,0.15,1,1,0,0,4.0,4.0,5.0,5.0,4.0,4.0,22.0,17.0,15.0,16.0,21.0,15.0,2,1,1,3.0,10.0
a413c588-1a7d-d2c0-4552-ca1003eefce6,0.19323046875,0.2775,2,0,0,0.44933819451797385,0.2775,2,2,0.19323046875,0.2775,2,2,0,0,5.0,4.0,5.0,4.0,5.0,4.0,19.0,13.0,13.0,13.0,13.0,13.0,4,2,2,4.0,7.0
3946a2ae-fd1e-7f84-78e0-18133c117900,0.31950286762040003,0.385875,3,0,0,0.6888779578025036,0.47799375,3,3,0.3224535166313949,0.385875,2,3,0,0,4.0,3.0,3.0,5.0,3.0,3.0,21.0,17.0,15.0,16.0,21.0,15.0,4,3,3,2.0,10.0
141e2ec6-aeee-4694-8818-18b00529f140,0.2848432088744589,0.47799375,4,0,0,1.0134776704402635,0.47799375,4,4,0.2850726841517857,0.47799375,3,4,0,0,6.0,7.0,7.0,7.0,7.0,6.0,27.0,21.0,22.0,22.0,26.0,21.0,5,4,4,4.0,12.0
b217c31a-8beb-7efb-07c7-bfb8d7e0d335,0.15,0.0,0,1,0,0.3799590855121494,0.15,1,1,0.15,0.0,1,0,1,0,4.0,5.0,4.0,4.0,5.0,4.0,27.0,21.0,20.0,19.0,25.0,19.0,2,1,1,3.0,14.0
06d1f9d5-ffd7-4462-97b8-20c56cdc5bb2,0.15966671207106406,0.385875,3,0,0,0.4451522200775781,0.385875,3,3,0.1606266911135132,0.385875,3,3,0,0,1.0,3.0,3.0,3.0,3.0,1.0,19.0,15.0,10.0,16.0,18.0,10.0,5,3,3,0.0,0.0
6de7953e-6155-9921-2db5-bc41f568ef64,0.9550135314981882,0.9935138543444292,31,0,6,3.890533750102601,0.9954596980411002,31,31,0.9628987207190428,0.9894383950245128,5,28,0,6,3.0,3.0,3.0,4.0,4.0,3.0,19.0,12.0,12.0,13.0,17.0,12.0,5,28,28,2.0,4.0
0bb37981-44b5-47b4-a447-414a8f0150c6,0.245625,0.385875,3,0,0,0.6995066724263018,0.385875,3,3,0.245625,0.385875,3,3,0,0,6.0,4.0,5.0,6.0,5.0,4.0,20.0,14.0,14.0,14.0,17.0,14.0,5,3,3,4.0,7.0
99b2a8c1-7fcc-4f01-8020-487617cadd26,0.6734937499999999,0.8790945064342538,13,0,0,2.3066118419555632,0.8790945064342538,13,13,0.6781872282608695,0.8790945064342538,3,13,0,0,3.0,5.0,5.0,5.0,4.0,3.0,26.0,21.0,19.0,21.0,26.0,19.0,5,13,13,3.0,14.0
