__id,pr_0,w_pr_0,kc_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,spath_top_1_0,spath_top_1_1,spath_top_1_2,spath_top_1_3,spath_top_1_4,spath_top_min_1,w_spath_top_1_0,w_spath_top_1_1,w_spath_top_1_2,w_spath_top_1_3,w_spath_top_1_4,w_spath_top_min_1,spath_top_2_0,spath_top_2_1,spath_top_2_2,spath_top_2_3,spath_top_2_4,spath_top_min_2,w_spath_top_2_0,w_spath_top_2_1,w_spath_top_2_2,w_spath_top_2_3,w_spath_top_2_4,w_spath_top_min_2
36b8feaa-776b-3ba3-27bc-1d92cd1c021e,0.5298808826902767,0.9797672825268142,5,24,0,6,2.4225431943590965,0.9828021901477921,3.0,4.0,3.0,3.0,4.0,3.0,17.0,11.0,9.0,12.0,15.0,9.0,3.0,4.0,3.0,3.0,4.0,3.0,17.0,11.0,9.0,12.0,15.0,9.0
f0ca2743-d10d-c9ba-a122-e4583f71884c,0.4426190273037543,0.7275094749609375,4,8,0,0,1.666425482564571,0.7683830537167969,3.0,5.0,5.0,5.0,5.0,3.0,22.0,15.0,16.0,16.0,20.0,15.0,3.0,5.0,5.0,5.0,5.0,3.0,22.0,15.0,16.0,16.0,20.0,15.0
c8a33aba-af39-4723-8c71-af59b8b41261,0.8360595372639148,0.7683830537167969,3,9,0,0,1.4610884597587204,0.7683830537167969,3.0,3.0,3.0,4.0,3.0,3.0,18.0,11.0,12.0,13.0,16.0,11.0,3.0,3.0,3.0,4.0,3.0,3.0,18.0,11.0,12.0,13.0,16.0,11.0
e96d3a67-d899-612d-0047-63a005425e1f,1.24607224025974,0.9894383950245129,5,28,1,0,4.411270307729873,0.9937158450395851,4.0,2.0,4.0,4.0,3.0,2.0,16.0,8.0,11.0,9.0,15.0,8.0,4.0,2.0,4.0,4.0,3.0,2.0,16.0,8.0,11.0,9.0,15.0,8.0
675f57d2-6612-4c97-9af9-bf13fc9d0295,0.35046010149414086,0.857758242863828,5,12,0,2,1.5167219841682238,0.857758242863828,1.0,3.0,3.0,3.0,3.0,1.0,19.0,13.0,10.0,12.0,17.0,10.0,1.0,3.0,3.0,3.0,3.0,1.0,19.0,13.0,10.0,12.0,17.0,10.0
f12aba9b-0e7d-960b-e4c5-3a2ba8acc0c7,0.16813416422287392,0.47799375,5,4,35,7,3.7083193400450756,0.9984976987501086,2.0,3.0,4.0,4.0,4.0,2.0,16.0,11.0,10.0,10.0,14.0,10.0,2.0,3.0,4.0,4.0,4.0,2.0,16.0,11.0,10.0,10.0,14.0,10.0
fcf9d10b-3637-4bfe-b87a-235f2b6d2d38,0.215875,0.38587499999999997,3,3,0,0,0.6489767186035919,0.38587499999999997,5.0,5.0,5.0,5.0,5.0,5.0,27.0,21.0,20.0,22.0,24.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,27.0,21.0,20.0,22.0,24.0,20.0
a2ecfb23-6315-576c-c509-a42b49326ce7,0.4159583308551867,0.7275094749609375,3,8,0,0,1.6546997860966601,0.7275094749609375,3.0,4.0,5.0,5.0,5.0,3.0,20.0,17.0,12.0,15.0,20.0,12.0,3.0,4.0,5.0,5.0,5.0,3.0,20.0,17.0,12.0,15.0,20.0,12.0
b6d404e8-65a9-7ad5-36fe-1436e85d7da6,0.156375,0.15,1,1,0,0,0.28831532227461365,0.15,5.0,4.0,5.0,5.0,4.0,4.0,28.0,22.0,22.0,22.0,26.0,22.0,5.0,4.0,5.0,5.0,4.0,4.0,28.0,22.0,22.0,22.0,26.0,22.0
e833d488-3022-4d8c-521d-6dcd12e26695,2.383844755637223,0.9999579299145347,5,61,0,16,7.460938492641152,0.9999876264454514,3.0,2.0,4.0,3.0,3.0,2.0,16.0,11.0,12.0,11.0,14.0,11.0,3.0,2.0,4.0,3.0,3.0,2.0,16.0,11.0,12.0,11.0,14.0,11.0
2be12640-7876-53de-50de-883832d1f102,0.15716381955234668,0.47799375,4,4,0,0,0.4683367849732955,0.47799375,3.0,3.0,3.0,3.0,3.0,3.0,20.0,15.0,14.0,15.0,15.0,14.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,15.0,14.0,15.0,15.0,14.0
a5a02ac3-273c-6246-f6a6-9de911050644,0.4769230769230768,0.857758242863828,4,12,0,0,2.066634643030875,0.857758242863828,5.0,5.0,4.0,5.0,5.0,4.0,15.0,13.0,12.0,12.0,17.0,12.0,5.0,5.0,4.0,5.0,5.0,4.0,15.0,13.0,12.0,12.0,17.0,12.0
e4d10a5e-9ec1-88b6-9acf-d8585c89bcb3,2.5575276049153977,0.9999998028494728,5,95,1,13,10.03500909795282,0.9999998826954364,3.0,2.0,1.0,3.0,2.0,1.0,15.0,10.0,8.0,9.0,14.0,8.0,3.0,2.0,1.0,3.0,2.0,1.0,15.0,10.0,8.0,9.0,14.0,8.0
ae87c6be-0650-d2d3-b0af-a7fd992c12d9,0.34124999999999994,0.622850484375,3,6,0,0,1.2982456030107459,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
0efdb9d4-7908-ecf3-cef7-95c0a2f46378,0.6256505145873932,0.9761968029727226,5,23,0,6,2.2285368892809085,0.9761968029727226,3.0,4.0,3.0,3.0,4.0,3.0,16.0,11.0,8.0,11.0,15.0,8.0,3.0,4.0,3.0,3.0,4.0,3.0,16.0,11.0,8.0,11.0,15.0,8.0
a1c497b6-541b-ed63-9cda-47f5ba422c80,0.5722257287866839,0.9257489137639361,5,13,0,4,1.5469082559052112,0.8790945064342538,3.0,4.0,3.0,3.0,4.0,3.0,19.0,13.0,11.0,12.0,13.0,11.0,3.0,4.0,3.0,3.0,4.0,3.0,19.0,13.0,11.0,12.0,13.0,11.0
