uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
a53e20ca-9dd1-df39-d4ec-185f2135f875,4,4,5,0.47799375,21.0,16.0,15.0,16.0,19.0,15.0
5b589776-7301-9ac8-659a-000ac4eabd3d,15,15,5,0.9126457808987484,16.0,10.0,10.0,10.0,14.0,10.0
6c528c13-53a9-8b79-22c8-ca59d980d214,9,9,5,0.7683830537167969,18.0,11.0,11.0,12.0,15.0,11.0
ad9a216d-772f-011e-2fad-76cc75166310,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
c118d7f7-5f7c-eaf9-db84-03164c1db52c,9,9,5,0.7683830537167969,19.0,15.0,13.0,13.0,16.0,13.0
4fcb2436-0592-55ac-5525-b17fd6c5c07a,45,45,5,0.9993334209544478,15.0,11.0,9.0,10.0,14.0,9.0
5c3763b4-02c9-801f-b478-c5c8aad9f4f4,4,4,5,0.47799375,16.0,13.0,12.0,13.0,17.0,12.0
bae2ef5d-e2a0-965b-0e7f-9dfc49ec3438,8,8,5,0.7683830537167969,19.0,14.0,10.0,11.0,16.0,10.0
130b9474-fddf-9c22-c187-ae115a266b09,1,1,2,0.15,34.0,30.0,27.0,30.0,33.0,27.0
e147789d-4096-fa30-0c42-28066cc4a554,4,4,5,0.47799375,20.0,13.0,13.0,13.0,18.0,13.0
86d630b8-bdfe-90ab-6f4c-1be6b8aa3b12,11,11,5,0.8326567563103858,16.0,10.0,10.0,10.0,14.0,10.0
ac4fb04f-e118-fff4-1767-f588f28f3916,22,22,5,0.9845979313352908,15.0,9.0,9.0,11.0,11.0,9.0
a8a983bb-752c-1600-5aa6-1131e20d26f3,47,47,5,0.9995183966395884,17.0,12.0,11.0,11.0,15.0,11.0
63b953e6-a949-e9da-e5e3-9ddf66d50743,3,3,5,0.385875,18.0,11.0,9.0,12.0,16.0,9.0
0ca50260-49e1-4004-b847-55b5fbbba0b5,3,3,5,0.385875,23.0,16.0,15.0,16.0,22.0,15.0
5698871e-9d96-45e1-a433-3b1c79475f49,1,1,2,0.15,18.0,15.0,14.0,15.0,18.0,14.0
91b969f1-db87-406f-988f-1c74facb5030,6,6,5,0.622850484375,20.0,15.0,14.0,16.0,18.0,14.0
e568a3cd-7bd0-258e-16d1-25b80da6ed73,14,14,5,0.8972303304691157,18.0,13.0,12.0,13.0,15.0,12.0
30a89ac5-0f0f-466a-b1a0-23820dd9062d,1,1,2,0.15,28.0,26.0,23.0,23.0,28.0,23.0
84e45eb1-4a2a-19e5-8868-6def7d0fc049,38,38,5,0.9994801725778923,17.0,12.0,12.0,11.0,16.0,11.0
21a0f46a-ae69-b512-b73f-e5047ec5476e,4,4,5,0.5562946875,26.0,22.0,19.0,21.0,23.0,19.0
64deece7-ad0c-26fd-2333-561fe27b60e9,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
b9af0af3-d812-c844-3ce8-8da3d833a43f,3,3,5,0.385875,18.0,13.0,12.0,6.0,16.0,6.0
021a188e-5c00-4a70-ab42-7b73da31f3b8,3,3,5,0.385875,19.0,13.0,11.0,11.0,16.0,11.0
72a548d4-88ca-4ecf-bad1-92b0f0478268,8,8,5,0.7275094749609375,18.0,13.0,13.0,13.0,17.0,13.0
91cde971-2b7f-fd5a-2c36-5ca34f9315f7,4,4,5,0.47799375,17.0,12.0,10.0,11.0,16.0,10.0
418b178f-4405-ccb5-fe0a-b9ab614520e3,15,15,5,0.9126457808987484,17.0,12.0,10.0,10.0,16.0,10.0
fdad94a7-5790-4c33-8c90-b7bf6bc7063e,1,1,2,0.15,31.0,25.0,24.0,24.0,26.0,24.0
1403bba4-a5a7-1404-2dac-5b4f7205a28e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
13c61a19-a25d-8a40-b8d6-bdff65098ef3,1,1,2,0.15,26.0,20.0,20.0,19.0,24.0,19.0
