uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
a67e4ea4-f3c1-3659-3309-aae6a8413960,3,3,5,0.385875,21.0,16.0,14.0,15.0,20.0,14.0
17562e0d-ebe8-e2f8-6269-612d13d13713,4,4,5,0.47799375,21.0,16.0,15.0,15.0,19.0,15.0
ea917977-c0c0-4f1f-b95f-62261deee1da,1,1,2,0.15,29.0,24.0,22.0,21.0,26.0,21.0
ad9a216d-772f-011e-2fad-76cc75166310,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
bbc4db8a-690a-cd2e-5f6a-bfe39e6a8e43,11,11,5,0.9832656756310384,24.0,17.0,17.0,16.0,21.0,16.0
5c3582b0-f812-4382-a011-2a4fa180214f,1,1,2,0.15,22.0,17.0,17.0,16.0,18.0,16.0
ff0b6674-2b30-2147-1f26-5712ddfccd45,10,10,5,0.8031255956592774,21.0,14.0,15.0,13.0,16.0,13.0
5943ac66-80d9-8d35-e5fd-030612faee23,4,4,5,0.47799375,23.0,17.0,17.0,18.0,22.0,17.0
ffa1c2fb-6d92-79ea-2e6f-4dbecf97b44e,1,1,2,0.15,20.0,14.0,14.0,15.0,18.0,14.0
edc6ee3a-9dc0-2c98-15bc-fbe8cb66aa5a,1,1,2,0.15,26.0,21.0,20.0,18.0,24.0,18.0
b17c6d64-626b-1b06-5015-0fd6acc0de32,6,6,5,0.622850484375,19.0,14.0,14.0,10.0,15.0,10.0
69e54369-e22b-f3b0-b7ba-a7d24c6d91c8,6,6,5,0.622850484375,20.0,16.0,14.0,16.0,17.0,14.0
f5c4b00a-99d9-f040-b762-367630e79ec7,1,1,2,0.15,22.0,18.0,16.0,17.0,22.0,16.0
fd781720-291b-f2f9-bdb8-044b96931602,16,16,5,0.925748913763936,16.0,12.0,12.0,13.0,16.0,12.0
b19d35b5-68fa-ebf6-8d76-aad900449cea,9,9,5,0.7683830537167969,19.0,14.0,14.0,12.0,15.0,12.0
64deece7-ad0c-26fd-2333-561fe27b60e9,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
c2849128-0ec0-9ec7-751f-5d3a44a0853b,15,15,5,0.9126457808987484,15.0,11.0,6.0,11.0,14.0,6.0
1dc04daf-0b02-40f0-afcb-1822dc93065a,1,1,2,0.15,28.0,22.0,21.0,22.0,26.0,21.0
4c2c63dc-5792-0891-b044-555a2925a6d6,40,40,5,1.000300460249978,22.0,16.0,14.0,15.0,19.0,14.0
b9af0af3-d812-c844-3ce8-8da3d833a43f,3,3,5,0.385875,18.0,13.0,12.0,6.0,16.0,6.0
268264c4-7d27-6f21-d393-3c19996b72cd,16,16,5,0.925748913763936,22.0,15.0,15.0,15.0,19.0,15.0
72a548d4-88ca-4ecf-bad1-92b0f0478268,8,8,5,0.7275094749609375,18.0,13.0,13.0,13.0,17.0,13.0
418b178f-4405-ccb5-fe0a-b9ab614520e3,15,15,5,0.9126457808987484,17.0,12.0,10.0,10.0,16.0,10.0
1403bba4-a5a7-1404-2dac-5b4f7205a28e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
239010f1-7372-e93a-ed94-7f03168d4175,3,3,5,0.385875,18.0,13.0,10.0,12.0,16.0,10.0
d2137dbc-686f-4e8c-974e-da3095d24380,2,2,4,0.2775,27.0,21.0,19.0,20.0,25.0,19.0
3efe9e0d-4918-5fcb-7eed-c975a277aa08,12,12,5,0.857758242863828,18.0,13.0,11.0,14.0,17.0,11.0
4178ebb7-37f6-a9f6-8925-1046e1088fc6,2,2,4,0.2775,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
8ca62567-0565-6dc6-6b7a-1259d6ce9326,3,3,5,0.385875,16.0,12.0,12.0,11.0,15.0,11.0
0f129006-1d48-9a77-9770-3a361aaacd25,9,9,5,0.7683830537167969,16.0,11.0,11.0,10.0,15.0,10.0
b4e42d34-c231-46cb-b987-c7ac215922b7,3,3,5,0.385875,16.0,11.0,11.0,10.0,15.0,10.0
e071bbdb-77e5-4b91-b080-0c65f2883c5e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
3337763e-50fa-82c9-04ce-47a50c68cf7e,2,2,4,0.2775,18.0,13.0,12.0,13.0,16.0,12.0
ec2af6b8-db41-3fa6-408f-2fd7823c0d5b,15,15,5,0.9126457808987484,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
9a2cf23b-3f0a-4fcc-b105-3620d9311a7e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
db896c5f-6894-ea81-c82a-0b2ba6cd35b1,1,1,2,0.15,23.0,19.0,18.0,18.0,23.0,18.0
b94a0b14-cffb-4892-b25d-69c9c4e87106,4,4,5,0.47799375,24.0,19.0,18.0,21.0,22.0,18.0
30a4930c-256e-52d7-5f4f-e286cdaf206a,27,27,5,0.98757458238178,18.0,12.0,10.0,10.0,16.0,10.0
8f428d22-8612-8fad-ad78-4b9d983623e9,27,27,5,0.98757458238178,20.0,13.0,14.0,13.0,18.0,13.0
765b24ca-db9e-cb5e-0a1a-d0b563b0108b,7,7,5,0.67942291171875,18.0,14.0,12.0,12.0,13.0,12.0
b8e38826-14f2-dd41-bf53-93e77df0b9f5,1,1,2,0.15,19.0,14.0,15.0,15.0,19.0,14.0
044a1684-b8ff-b572-a85a-e960ff6cca9f,47,47,5,0.9995183966395884,19.0,15.0,14.0,13.0,19.0,13.0
10f20fe7-9f59-f026-4f7d-16c7a9a14672,3,3,5,0.385875,23.0,16.0,16.0,18.0,21.0,16.0
1f417763-3cb2-4f8f-9154-116dd8aa2ea4,1,1,2,0.15,24.0,17.0,16.0,17.0,20.0,16.0
5a8c8c5a-90a4-007d-bd52-cdc3b0e8bbc5,1,1,2,0.15,19.0,14.0,12.0,14.0,17.0,12.0
e621f833-9e89-4284-b789-8ed8c547fd83,1,1,2,0.15,36.0,30.0,30.0,30.0,35.0,30.0
d0277ee0-14c9-2ea1-69a5-d8ec219e8bfb,1,1,2,0.15,32.0,26.0,26.0,26.0,29.0,26.0
183f424a-8123-44fe-842c-f8a625ab78c2,1,1,2,0.15,28.0,22.0,20.0,21.0,25.0,20.0
aedcd7d9-6269-44da-ab08-eaa07b993623,2,2,4,0.2775,22.0,18.0,17.0,19.0,21.0,17.0
161c22ae-ed42-4f34-86f6-bb54583f12c1,2,2,4,0.2775,22.0,16.0,15.0,13.0,20.0,13.0
a14af1bd-5691-a958-ea0d-1cac86d7bd0c,7,7,5,0.7275094749609375,21.0,16.0,15.0,16.0,19.0,15.0
9e66eef4-98eb-47bb-a1d3-7942920781e8,1,1,2,0.15,24.0,17.0,16.0,17.0,20.0,16.0
72c0ca45-14f8-4644-9e9c-7d96f0634838,1,1,2,0.15,34.0,28.0,29.0,29.0,32.0,28.0
ee2f8873-4202-6a11-defe-3ed1cb9f04e5,3,3,5,0.385875,17.0,10.0,10.0,10.0,15.0,10.0
323a70c9-9317-4c84-a331-04f08c9a413d,1,1,2,0.15,33.0,29.0,24.0,29.0,32.0,24.0
5e272900-6ab6-403d-972e-f46dfe615170,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
4127ee99-22c9-ca31-ef24-8b72afe3178d,3,3,2,0.5701124999999999,24.0,19.0,18.0,17.0,22.0,17.0
5f334995-c91d-422d-ae9d-f6666a8b255b,5,5,5,0.5562946875,20.0,17.0,16.0,15.0,18.0,15.0
27efd1a5-73d7-b204-f483-141ca6e5027b,7,7,5,0.8236826014453126,25.0,19.0,19.0,19.0,23.0,19.0
2e847869-bd46-00a3-2d95-b470f599888b,1,1,2,0.15,18.0,13.0,13.0,13.0,18.0,13.0
f61bbd1d-baa5-4912-0c5c-9d9e05bedd31,1,1,2,0.15,18.0,10.0,12.0,13.0,18.0,10.0
62d06a89-ac81-32eb-b196-b0b4a3b9e48a,1,1,2,0.15,19.0,14.0,11.0,13.0,16.0,11.0
dfce57b9-2fde-478c-5516-1f167e3be098,1,1,2,0.15,20.0,12.0,13.0,13.0,17.0,12.0
300ea1e3-dd0a-8ee4-28a3-48a2715bc491,1,1,2,0.15,21.0,15.0,15.0,14.0,19.0,14.0
3f1e2b3c-77b7-1276-5d76-b8dcbfd912eb,7,7,5,0.67942291171875,22.0,17.0,14.0,17.0,22.0,14.0
d9f83d26-2413-46f5-ae2e-330393f90e31,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
15949ad6-5527-11d2-9f6d-b43fd3bee1cb,8,8,5,0.7275094749609375,20.0,15.0,15.0,14.0,17.0,14.0
7e3bc9f4-8a46-8d00-3b25-59b88ae237d9,1,1,2,0.15,28.0,24.0,19.0,24.0,27.0,19.0
9573c94e-9d4f-27ec-5136-cbfbb2c7ea4b,1,1,2,0.15,23.0,18.0,17.0,18.0,20.0,17.0
dce82124-ec4c-416a-b78a-ce5c68206548,8,8,5,0.7275094749609375,24.0,17.0,16.0,17.0,20.0,16.0
12be1209-cf20-16c8-a30f-dce8fb569bed,6,6,5,0.622850484375,22.0,16.0,16.0,16.0,20.0,16.0
3f634113-f9fa-4493-a966-1918d0de865b,1,1,2,0.15,38.0,33.0,32.0,33.0,36.0,32.0
a3399d75-d8fa-51fe-f8d5-ebf81f37e05f,2,2,4,0.2775,27.0,22.0,21.0,22.0,26.0,21.0
f84bbee1-f399-49ca-83ba-227d20d1432c,1,1,2,0.15,29.0,24.0,23.0,23.0,27.0,23.0
4eeffd6c-dd97-97c4-14f5-058d3254717d,1,1,2,0.15,30.0,22.0,23.0,24.0,25.0,22.0
5997bef9-c635-e4ff-4793-6ae34898a930,3,3,5,0.385875,25.0,19.0,19.0,18.0,22.0,18.0
bfb443cb-9f40-e702-6d3f-0465440b8fd1,10,10,5,0.8326567563103858,23.0,18.0,16.0,17.0,21.0,16.0
7607a659-94fa-3547-f6e0-8ee5b99363b5,24,24,5,0.9797672825268142,19.0,13.0,13.0,13.0,17.0,13.0
c09b32e2-4e4c-42e8-8fd5-2dd7e6050029,1,1,2,0.15,22.0,20.0,19.0,19.0,18.0,18.0
c3fa95d1-7da0-3d4d-8068-7c5293b46019,7,7,5,0.67942291171875,24.0,18.0,18.0,18.0,21.0,18.0
e6659047-8a99-d47e-520b-fc7fc621288f,30,30,5,0.9923692404052106,16.0,10.0,10.0,11.0,14.0,10.0
a797198d-2204-e40a-49c5-836cd5e43fc7,1,1,2,0.15,29.0,23.0,24.0,23.0,28.0,23.0
a399869f-4ee8-5ffd-a82d-e5b898582972,41,41,5,0.9987230439375924,21.0,16.0,15.0,15.0,20.0,15.0
460b924d-48d6-ab43-8fdb-22be7245b447,14,14,5,0.928061231328381,20.0,17.0,16.0,15.0,21.0,15.0
0424ff40-be27-7b50-e329-e1864400383d,60,60,5,0.9999417715080066,16.0,10.0,9.0,10.0,14.0,9.0
193cb6b2-8176-310a-10fe-3e3f6bf8e427,1,1,2,0.15,26.0,22.0,20.0,21.0,24.0,20.0
6664a47d-7724-04db-0c43-9f584b08e4ca,10,10,5,0.8917190776126026,21.0,17.0,15.0,16.0,19.0,15.0
25577ca8-72a2-9d15-88e7-13a345e99a18,14,14,5,0.9126457808987484,18.0,12.0,10.0,12.0,17.0,10.0
3dbba783-aa98-b6cc-f342-30aef10a45ae,1,1,2,0.15,16.0,11.0,11.0,11.0,16.0,11.0
29870a7c-07ed-5748-2ef2-87c26fa8eb3c,63,63,5,0.9999749682991482,17.0,9.0,10.0,11.0,13.0,9.0
76cb5d20-99fe-48e0-b684-fbb71f8091cc,16,16,5,0.9480242396347554,28.0,21.0,23.0,22.0,27.0,21.0
acfbcc20-daba-e224-1f19-4233e8ccd101,5,5,5,0.5562946875,21.0,16.0,16.0,15.0,19.0,15.0
f47becab-a959-4ee1-8461-9458a44d7356,4,4,5,0.5562946875,21.0,17.0,16.0,13.0,19.0,13.0
ce104eef-4d86-1a4f-2496-6af1e3f73e45,2,2,4,0.2775,27.0,23.0,18.0,22.0,26.0,18.0
6a3be8d2-e4ed-c529-2d4b-41b6051336d6,15,15,5,0.938852046629124,15.0,11.0,9.0,11.0,13.0,9.0
cade97c7-fc40-40ce-b2b1-a69ab114d770,3,3,5,0.385875,23.0,16.0,15.0,17.0,19.0,15.0
2e54faff-fadb-4d04-b24f-6df384384d43,3,3,5,0.385875,18.0,12.0,12.0,12.0,17.0,12.0
a0a93249-ff0c-f64f-958e-93e6987f8f72,2,2,4,0.2775,31.0,27.0,26.0,24.0,30.0,24.0
b7daf4e5-64d4-a494-6237-be29bbd03346,19,19,5,0.968080386165694,17.0,12.0,11.0,12.0,15.0,11.0
04c4823f-600d-bba9-b666-62eb631bc320,3,3,5,0.385875,19.0,12.0,13.0,13.0,17.0,12.0
863b9a28-59da-4045-b475-f57354f27bb8,6,6,5,0.622850484375,18.0,12.0,13.0,12.0,12.0,12.0
2d70c2db-cebb-a96b-6d47-d521e0f947a9,1,1,2,0.15,27.0,25.0,21.0,24.0,27.0,21.0
