uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
2e847869-bd46-00a3-2d95-b470f599888b,1,1,2,0.15,18.0,13.0,13.0,13.0,18.0,13.0
9986896e-adcc-23ab-28aa-428aebfbc7b8,2,2,4,0.2775,19.0,12.0,12.0,14.0,16.0,12.0
db7bcf0f-8236-7655-6e59-2d1b3f30f4b5,1,1,2,0.15,26.0,21.0,20.0,21.0,23.0,20.0
538ff0d9-f6e1-18eb-597b-67afd8010362,1,1,2,0.15,20.0,14.0,13.0,16.0,17.0,13.0
08c681fb-f0ce-7057-b860-74546aa0261d,4,4,5,0.47799375,29.0,20.0,21.0,20.0,25.0,20.0
d9f83d26-2413-46f5-ae2e-330393f90e31,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
ace53942-7ff5-70ee-7f14-b65bb99c884f,14,14,5,0.8972303304691157,18.0,12.0,10.0,10.0,16.0,10.0
254236f3-5eb4-48a9-048d-fb6eefce69d0,1,1,2,0.15,22.0,18.0,15.0,16.0,22.0,15.0
bcb235fa-278c-295d-6c32-88be2fc743b0,1,1,2,0.15,27.0,23.0,22.0,21.0,26.0,21.0
a9a628a4-52e6-406d-8536-977b7b57309d,3,3,4,0.385875,28.0,21.0,21.0,22.0,26.0,21.0
6f66fa1b-c6b3-4bc3-a80a-1af1217a67bd,1,1,2,0.15,26.0,22.0,21.0,20.0,24.0,20.0
3f7fc0da-59f2-a319-968d-816015c7aa42,1,1,2,0.15,30.0,23.0,23.0,24.0,28.0,23.0
4da51c8c-dc7d-3f89-0bf2-d864607786ce,4,4,5,0.47799375,27.0,22.0,21.0,21.0,23.0,21.0
cf38c24b-14cd-0374-6867-f90c399aa912,10,10,5,0.8621879169614941,21.0,16.0,15.0,16.0,20.0,15.0
aab410a8-a12b-4024-b8c1-af8f4fa542d6,1,1,2,0.15,32.0,28.0,26.0,28.0,27.0,26.0
d9f73a8c-ec4c-445b-9869-0052ea3613ae,2,2,4,0.2775,29.0,24.0,24.0,23.0,27.0,23.0
e6659047-8a99-d47e-520b-fc7fc621288f,30,30,5,0.9923692404052106,16.0,10.0,10.0,11.0,14.0,10.0
5ffa3c23-04b0-05dd-1bde-dab965d24a3a,5,5,5,0.5562946875,24.0,18.0,18.0,18.0,20.0,18.0
597cfb3c-2197-1f0c-ee9a-2f10f456f52a,29,29,5,0.9910226357708358,16.0,10.0,9.0,9.0,13.0,9.0
3dbba783-aa98-b6cc-f342-30aef10a45ae,1,1,2,0.15,16.0,11.0,11.0,11.0,16.0,11.0
7d0b0f31-d78a-d582-432b-aefbf87f94ed,4,4,5,0.5562946875,28.0,23.0,23.0,22.0,28.0,22.0
29870a7c-07ed-5748-2ef2-87c26fa8eb3c,63,63,5,0.9999749682991482,17.0,9.0,10.0,11.0,13.0,9.0
afd96514-5c1f-4ef8-1c47-1f1338939dab,1,1,2,0.15,27.0,22.0,17.0,21.0,25.0,17.0
4e17f4da-9783-4070-828c-16fcf5edddd4,7,7,5,0.7275094749609375,25.0,19.0,19.0,17.0,23.0,17.0
228852eb-2e1b-a5a0-fb0a-e9fa1d880a34,3,3,5,0.385875,18.0,12.0,13.0,14.0,19.0,12.0
46267e06-81ab-4720-a7ce-b9dd63ad51e0,1,1,2,0.15,23.0,18.0,19.0,15.0,22.0,15.0
230bd8d1-c4f3-ec62-5636-94aef679d8ba,1,1,2,0.15,25.0,19.0,20.0,18.0,20.0,18.0
6a3be8d2-e4ed-c529-2d4b-41b6051336d6,15,15,5,0.938852046629124,15.0,11.0,9.0,11.0,13.0,9.0
697c5050-23a2-8d94-4a7d-a3db5c1238b5,1,1,2,0.15,22.0,17.0,16.0,17.0,21.0,16.0
05b2bd99-0698-4dae-851f-edfd984a5780,1,1,2,0.15,31.0,25.0,24.0,23.0,29.0,23.0
7a3b0efc-bd2a-47f6-bf11-29ff5aa9c888,12,12,5,0.857758242863828,22.0,15.0,13.0,14.0,18.0,13.0
8c341411-d347-52e0-f874-7d3f96027e07,14,14,5,0.8972303304691157,17.0,12.0,9.0,12.0,15.0,9.0
a11effe5-c01f-d17d-daaf-43c945d96b8e,9,9,5,0.8378681376017578,32.0,27.0,24.0,27.0,31.0,24.0
844b1d53-81c8-42d8-9731-42f6c2e1704f,1,1,2,0.15,16.0,15.0,13.0,13.0,18.0,13.0
