uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
a107cd4f-b032-4fc7-a8f6-a5edc3c2ab2c,1,1,2,0.15,30.0,25.0,24.0,23.0,28.0,23.0
d1a58e4c-4775-4549-ae5b-b3142a8cce1e,2,2,2,0.2775,32.0,27.0,26.0,26.0,31.0,26.0
305a497a-66d7-47a9-bb77-f186dadf6666,1,1,2,0.15,26.0,20.0,17.0,20.0,23.0,17.0
67adef82-c75b-4365-934d-b2e9c7cb8e6c,3,3,5,0.385875,20.0,16.0,13.0,14.0,19.0,13.0
21d1a828-dc91-36fa-1bab-edbef7ba3474,12,12,5,0.857758242863828,13.0,9.0,8.0,9.0,13.0,8.0
ee803f24-c78f-a82d-2fd0-4810591eb30a,7,7,5,0.67942291171875,21.0,17.0,15.0,16.0,18.0,15.0
4a95d5a8-f90f-e7ed-272f-ea9d6187d4c7,2,2,2,0.385875,23.0,17.0,16.0,18.0,19.0,16.0
05c0c85c-c647-c565-790c-5d61fd15b652,1,1,2,0.15,18.0,15.0,14.0,14.0,19.0,14.0
e680995d-68ef-362e-f315-4d3175062e2c,1,1,2,0.15,24.0,19.0,18.0,18.0,20.0,18.0
5330061d-6bfb-469d-b25d-ae117518db8c,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
cef320e5-e192-a148-0874-dfab596f457f,17,17,5,0.9368865766993456,16.0,12.0,10.0,10.0,10.0,10.0
a2474b8e-ee74-91e3-948d-1da1954ed0f3,1,1,2,0.15,18.0,12.0,12.0,13.0,17.0,12.0
4faf0f23-ded3-06d7-88d2-84963000e568,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
0603064e-9866-4ec8-b56e-44043b1ef15e,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
1da69f17-f635-7929-e351-58685293bf0a,1,1,2,0.15,26.0,20.0,20.0,21.0,24.0,20.0
6d210fb2-0ad2-8938-421f-8dfda1d3314c,18,18,5,0.946353590194444,20.0,15.0,12.0,14.0,18.0,12.0
68942aa6-2c89-3d33-0cb1-de68e8b55a93,1,1,2,0.15,23.0,18.0,17.0,17.0,21.0,17.0
c5c8046b-013f-7e02-4717-36152bddc775,10,10,5,0.8031255956592774,17.0,13.0,12.0,12.0,17.0,12.0
6f0a58cf-143d-4bd9-8da6-6588f8e82f77,1,1,2,0.15,31.0,26.0,24.0,25.0,29.0,24.0
7ed7b487-3ff3-4ddf-eda7-55f4c43a2015,8,8,5,0.7275094749609375,24.0,19.0,15.0,17.0,20.0,15.0
4bff10e1-94ba-4066-a117-0667934dca47,2,2,4,0.2775,27.0,21.0,19.0,22.0,24.0,19.0
4a894b13-2f13-7717-0afc-8c708bdc7979,8,8,5,0.7275094749609375,18.0,12.0,10.0,11.0,14.0,10.0
4b737a44-6c1b-312e-81da-393adf6bcb72,2,2,4,0.2775,21.0,16.0,14.0,17.0,19.0,14.0
b354c10a-402a-28e2-7543-861608a83c01,10,10,5,0.8031255956592774,20.0,15.0,15.0,15.0,20.0,15.0
6ade0afd-5aee-fbc6-70c9-72711ae4f2d0,2,2,4,0.2775,24.0,21.0,21.0,21.0,23.0,21.0
7c070f12-777f-99cc-c3dc-61de0cf87b0b,20,20,5,0.9612404689154856,16.0,12.0,11.0,12.0,15.0,11.0
1b084b09-61ee-bdd6-d70e-09f46b47ce2a,7,7,5,0.67942291171875,14.0,13.0,11.0,11.0,15.0,11.0
4654ce6b-c7dd-1b92-17a5-415263ff2ee1,7,7,5,0.67942291171875,25.0,20.0,16.0,19.0,23.0,16.0
d2e72808-4cdf-0183-631e-758075df08b7,8,8,5,0.7683830537167969,32.0,27.0,27.0,27.0,32.0,27.0
8443f70f-73b3-407e-b240-9fabd719e0c6,8,8,5,0.7275094749609375,19.0,14.0,11.0,13.0,18.0,11.0
3b3d6992-3fdd-fe60-f308-8a24bc5436ba,26,26,5,0.9853818616256234,15.0,10.0,10.0,10.0,14.0,10.0
573c72f2-b853-3df7-95a5-298a0dc2306f,15,15,5,0.925748913763936,18.0,13.0,9.0,12.0,14.0,9.0
4ed6f5da-f2ca-9130-423d-3c0bedbebd7c,6,6,5,0.622850484375,20.0,13.0,13.0,13.0,16.0,13.0
2955bdcf-364e-c6bb-e849-5c91e2bd6917,4,4,5,0.47799375,26.0,20.0,20.0,20.0,16.0,16.0
81eed08b-f7c4-8d04-dadb-4badec05a61f,1,1,2,0.15,22.0,16.0,15.0,13.0,20.0,13.0
2b55b6fc-c4d2-60d7-5737-fd1dc85e538d,46,46,5,0.9996033854678964,18.0,12.0,12.0,12.0,14.0,12.0
6c21afd2-7c4f-1466-8abb-6dc8cfaed004,1,1,2,0.15,27.0,25.0,24.0,24.0,27.0,24.0
8d4ed199-ffae-44d7-83b1-1c5516d06bcd,1,1,2,0.15,24.0,19.0,17.0,18.0,22.0,17.0
cda9b7db-a1bc-80f4-39a7-c1192d53922b,1,1,2,0.15,23.0,19.0,18.0,18.0,23.0,18.0
45f6722f-b8d9-2993-a871-9c31d88dc2a1,1,1,2,0.15,21.0,16.0,15.0,16.0,19.0,15.0
b58cc13f-5d38-7142-4554-fcd6fdbb05f0,1,1,2,0.15,30.0,26.0,21.0,26.0,29.0,21.0
ea677995-fbd2-8134-4a58-5ca747d68a1b,9,9,5,0.7683830537167969,22.0,17.0,17.0,17.0,20.0,17.0
4d8e67c5-ffcf-4c79-8306-ce40ce8042db,1,1,2,0.15,37.0,31.0,31.0,29.0,35.0,29.0
6a8ab5d4-8b49-335f-69b5-a946edfd2833,125,125,5,0.9999999984955918,14.0,9.0,8.0,10.0,14.0,8.0
28a9c241-e49d-f8aa-8d97-60d7d226f439,17,17,5,0.946353590194444,17.0,13.0,14.0,13.0,17.0,13.0
617021b7-c22c-4fff-a7ab-b34613eee9ef,4,4,5,0.47799375,16.0,11.0,11.0,11.0,14.0,11.0
f7ddf337-94e5-bcef-ae3b-d4b558f82c84,23,23,5,0.9761968029727226,19.0,13.0,10.0,10.0,15.0,10.0
e608e39a-d166-e7fe-02a5-563d4fc33031,4,4,5,0.47799375,19.0,15.0,10.0,16.0,18.0,10.0
df534f75-77e5-8704-92c2-225fa3c22886,16,16,5,0.925748913763936,16.0,12.0,11.0,12.0,15.0,11.0
eb8f8255-d4fe-5d2d-b8e4-bc1dd1051ef1,6,6,5,0.67942291171875,23.0,17.0,16.0,17.0,21.0,16.0
b746f9bc-d728-2ea4-7bd5-ab87212e8762,3,3,5,0.385875,17.0,12.0,10.0,8.0,17.0,8.0
701bde08-4268-ea55-cd5d-a51c265744b6,6,6,5,0.622850484375,31.0,26.0,23.0,25.0,29.0,23.0
50ef50b6-02b0-4cdf-8b6b-f4cf381931b6,7,7,5,0.67942291171875,25.0,19.0,18.0,20.0,21.0,18.0
2bc46e47-23fc-014f-fa8e-a792043840a2,2,2,2,0.385875,27.0,22.0,21.0,21.0,26.0,21.0
1fd5afe1-31ef-2cd5-c5d0-dda02ba383a9,1,1,2,0.15,29.0,23.0,21.0,20.0,27.0,20.0
9f489bff-0faa-cf51-8051-ee73ccddd327,4,4,5,0.5562946875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
3095fcc7-99b8-404b-eff3-346fe8cc862d,7,7,5,0.67942291171875,21.0,16.0,15.0,15.0,19.0,15.0
c10fc4df-c504-4323-9dd0-44d1f1fa08bd,1,1,2,0.15,29.0,25.0,24.0,23.0,27.0,23.0
fea268f6-5093-b3e5-ee9c-7915226d374b,10,10,5,0.8031255956592774,27.0,22.0,21.0,20.0,24.0,20.0
b53a496d-6a79-4b60-87d4-b2c5a32b60c7,1,1,2,0.15,28.0,21.0,21.0,21.0,26.0,21.0
d77c7a6c-ae8f-c5b4-3951-0459045a2c63,1,1,2,0.15,17.0,11.0,10.0,10.0,15.0,10.0
fd4351c6-144b-6614-2856-dadb12f24746,57,57,5,0.9999051846252904,17.0,12.0,11.0,11.0,15.0,11.0
d9e70545-4bcd-bb28-0fb2-778aa23d3af8,3,3,4,0.385875,22.0,18.0,17.0,17.0,20.0,17.0
072755d3-e9c6-7682-5dcc-7417f6735e77,10,10,5,0.8326567563103858,21.0,14.0,14.0,15.0,18.0,14.0
3f985ec5-478b-591f-06ef-0151cdd2e8fb,1,1,2,0.15,19.0,13.0,13.0,10.0,17.0,10.0
8de60ef9-0b69-8331-d21e-d969fc301aa6,3,3,5,0.385875,15.0,11.0,11.0,10.0,14.0,10.0
d3302758-ec39-4632-a4e9-d00b7a556cf2,1,1,2,0.15,22.0,17.0,13.0,17.0,20.0,13.0
e5b2da17-8b25-44c9-97bc-10cb67ce6c1f,2,2,4,0.2775,26.0,20.0,20.0,18.0,23.0,18.0
2793eecf-6d66-4414-8c4c-6f095f768049,1,1,2,0.15,31.0,25.0,24.0,25.0,29.0,24.0
7aa193a7-ef74-ba31-c49a-030147eae64e,10,10,5,0.8031255956592774,18.0,11.0,9.0,10.0,16.0,9.0
8b368192-a899-40e7-baec-7efb91144c57,2,2,4,0.2775,28.0,23.0,21.0,24.0,28.0,21.0
bc653683-f793-3e04-71b6-b63517dbb6e2,14,14,5,0.8972303304691157,16.0,10.0,10.0,11.0,14.0,10.0
72d8c75a-8638-4f26-b837-98c6a4cdfeef,11,11,5,0.8326567563103858,24.0,18.0,18.0,18.0,22.0,18.0
66922e72-210c-c8c6-5afa-a08f7f94e2df,2,2,4,0.2775,24.0,17.0,18.0,19.0,21.0,17.0
8372a1d2-5327-7b7b-f382-f62573b0f181,1,1,2,0.15,20.0,14.0,14.0,15.0,20.0,14.0
d6543876-96b7-b71a-de0a-88f6fc118bbd,7,7,5,0.67942291171875,17.0,13.0,13.0,13.0,17.0,13.0
4e4365ab-c248-4c37-8463-315a18646c27,12,12,5,0.857758242863828,21.0,14.0,13.0,14.0,17.0,13.0
404d9a44-c392-af02-8b63-edc51f3efe3f,46,46,5,0.9994334078112806,15.0,11.0,9.0,10.0,15.0,9.0
4e3e1d61-2c39-43cf-85c7-6fc323b0d1df,1,1,2,0.15,31.0,26.0,25.0,25.0,29.0,25.0
c5e3826d-92ce-4906-bebe-4f550136d078,8,8,5,0.7275094749609375,19.0,15.0,10.0,16.0,18.0,10.0
ffad8a5c-c774-436f-b466-5c96af8cc103,1,1,2,0.15,21.0,16.0,14.0,12.0,16.0,12.0
42504f7e-b924-a3d8-4f06-207eed79ec3d,25,25,5,0.982802190147792,17.0,12.0,10.0,13.0,15.0,10.0
4be05aae-12d1-455e-409c-9661e1610a3f,16,16,5,0.925748913763936,15.0,10.0,9.0,10.0,15.0,9.0
6b53ff66-79c2-448d-fd38-0efa82ef69dd,20,20,5,0.9612404689154856,18.0,10.0,11.0,13.0,17.0,10.0
a87951c2-295e-660d-e6dc-55709365e3bf,5,5,5,0.5562946875,22.0,17.0,15.0,16.0,21.0,15.0
4c207e22-754d-41d9-83f0-62401a5d61f2,1,1,2,0.15,29.0,25.0,23.0,23.0,26.0,23.0
43ac6c2f-65ec-5b40-89d6-ab9d4c4988ef,138,138,5,0.9999999999272436,16.0,9.0,9.0,10.0,13.0,9.0
f3ff5564-5395-4ef1-8974-cd3d17f9bf35,5,5,5,0.5562946875,29.0,23.0,23.0,22.0,27.0,22.0
f144cfde-d89e-4edb-368a-aa21797defe9,1,1,2,0.15,21.0,15.0,16.0,15.0,21.0,15.0
7f0b173c-65f9-a3ea-9942-3ffd2f2ec5a6,1,1,2,0.15,27.0,22.0,20.0,19.0,26.0,19.0
7a9b9e3a-88db-b5d7-a972-9faa8d840ff2,3,3,5,0.385875,21.0,15.0,15.0,15.0,19.0,15.0
