uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
21d1a828-dc91-36fa-1bab-edbef7ba3474,12,12,5,0.857758242863828,13.0,9.0,8.0,9.0,13.0,8.0
e1723ce2-95c7-97c6-a94e-9975d13337ae,7,7,5,0.67942291171875,21.0,16.0,14.0,17.0,19.0,14.0
f500d448-7d9c-f7e2-c8ed-72fa16205321,1,1,2,0.15,22.0,18.0,17.0,16.0,21.0,16.0
85f53af5-67ba-f76a-35b8-c23905641907,4,4,5,0.47799375,23.0,15.0,17.0,16.0,21.0,15.0
8f09f18f-e623-abd6-6b10-e0c16b0ea08f,1,1,2,0.15,23.0,17.0,17.0,15.0,21.0,15.0
4b1083e3-41e5-d874-1e7f-157b2fd77b65,1,1,2,0.15,19.0,13.0,13.0,13.0,17.0,13.0
9661114a-5e9b-18d7-2708-4ee03b41326c,3,3,5,0.385875,23.0,19.0,18.0,18.0,21.0,18.0
a5cfa01b-8a3a-c87c-d39f-e85e103103b2,1,1,2,0.15,20.0,12.0,13.0,12.0,17.0,12.0
505791a5-3533-333f-a17d-4625434ce63a,1,1,2,0.15,21.0,14.0,15.0,14.0,17.0,14.0
e4a19a28-92c2-4576-bcae-3389ae0bf261,4,4,5,0.47799375,27.0,22.0,22.0,22.0,26.0,22.0
4425abf9-f0a6-4f30-b401-3356593dd708,1,1,2,0.15,19.0,14.0,12.0,14.0,16.0,12.0
5330061d-6bfb-469d-b25d-ae117518db8c,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
cef320e5-e192-a148-0874-dfab596f457f,17,17,5,0.9368865766993456,16.0,12.0,10.0,10.0,10.0,10.0
8f2283cd-605e-4a91-854b-bf8b9fc20b83,1,1,2,0.15,33.0,28.0,28.0,27.0,32.0,27.0
f6baa79b-4d0a-dc79-9724-8cb047c6a072,1,1,2,0.15,20.0,15.0,12.0,14.0,18.0,12.0
4faf0f23-ded3-06d7-88d2-84963000e568,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
6d210fb2-0ad2-8938-421f-8dfda1d3314c,18,18,5,0.946353590194444,20.0,15.0,12.0,14.0,18.0,12.0
056caade-4cea-982c-de3d-e7ceea3058f6,23,23,5,0.9761968029727226,16.0,10.0,9.0,10.0,12.0,9.0
900342ce-1c40-d753-6f46-1e9210351e1c,2,2,4,0.2775,22.0,16.0,14.0,14.0,18.0,14.0
61a8778c-d89e-e45a-b2ef-345571ebac7f,5,5,5,0.5562946875,20.0,18.0,17.0,15.0,20.0,15.0
77f35041-1361-4136-ab82-b5a7a68b6dac,17,17,5,0.9368865766993456,19.0,13.0,12.0,11.0,17.0,11.0
0603064e-9866-4ec8-b56e-44043b1ef15e,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
0a037ef9-43cf-7377-504e-a5b3e006d401,36,36,5,0.9971220627149744,19.0,13.0,12.0,11.0,16.0,11.0
4a894b13-2f13-7717-0afc-8c708bdc7979,8,8,5,0.7275094749609375,18.0,12.0,10.0,11.0,14.0,10.0
6ade0afd-5aee-fbc6-70c9-72711ae4f2d0,2,2,4,0.2775,24.0,21.0,21.0,21.0,23.0,21.0
1b084b09-61ee-bdd6-d70e-09f46b47ce2a,7,7,5,0.67942291171875,14.0,13.0,11.0,11.0,15.0,11.0
4654ce6b-c7dd-1b92-17a5-415263ff2ee1,7,7,5,0.67942291171875,25.0,20.0,16.0,19.0,23.0,16.0
d2e72808-4cdf-0183-631e-758075df08b7,8,8,5,0.7683830537167969,32.0,27.0,27.0,27.0,32.0,27.0
3b3d6992-3fdd-fe60-f308-8a24bc5436ba,26,26,5,0.9853818616256234,15.0,10.0,10.0,10.0,14.0,10.0
77ccb84b-6294-7982-ac1a-d7560d02b2cf,7,7,5,0.7275094749609375,28.0,23.0,22.0,21.0,25.0,21.0
573c72f2-b853-3df7-95a5-298a0dc2306f,15,15,5,0.925748913763936,18.0,13.0,9.0,12.0,14.0,9.0
81eed08b-f7c4-8d04-dadb-4badec05a61f,1,1,2,0.15,22.0,16.0,15.0,13.0,20.0,13.0
6c21afd2-7c4f-1466-8abb-6dc8cfaed004,1,1,2,0.15,27.0,25.0,24.0,24.0,27.0,24.0
8d4ed199-ffae-44d7-83b1-1c5516d06bcd,1,1,2,0.15,24.0,19.0,17.0,18.0,22.0,17.0
e4d304ca-dfc1-13a4-9df4-0f9b1b053b05,7,7,5,0.7275094749609375,24.0,20.0,15.0,20.0,23.0,15.0
9b803da7-f92c-44d9-a8cf-4c6a7ac85630,1,1,2,0.15,30.0,25.0,23.0,23.0,27.0,23.0
ea677995-fbd2-8134-4a58-5ca747d68a1b,9,9,5,0.7683830537167969,22.0,17.0,17.0,17.0,20.0,17.0
6a8ab5d4-8b49-335f-69b5-a946edfd2833,125,125,5,0.9999999984955918,14.0,9.0,8.0,10.0,14.0,8.0
46a4b2ae-f9f5-de19-3c98-2cbb15916e55,48,48,5,0.9996520415721027,16.0,10.0,10.0,10.0,10.0,10.0
844b1d53-81c8-42d8-9731-42f6c2e1704f,1,1,2,0.15,16.0,15.0,13.0,13.0,18.0,13.0
7bc7230a-33c0-435a-9c21-954642f6f357,2,2,4,0.2775,23.0,18.0,15.0,16.0,22.0,15.0
ad9a216d-772f-011e-2fad-76cc75166310,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
10323851-23d8-4511-8e79-e3484a814f69,1,1,2,0.15,22.0,18.0,13.0,18.0,21.0,13.0
e95fdb87-d3cc-0c0d-468d-fe0af2b5d352,5,5,5,0.5562946875,24.0,17.0,18.0,17.0,23.0,17.0
a10bdf64-1d5b-4e72-b563-334b7838313b,3,3,5,0.385875,23.0,18.0,14.0,16.0,20.0,14.0
07394545-f59f-c96b-53ba-a08192e06e75,17,17,5,0.9842216441748364,20.0,16.0,12.0,16.0,19.0,12.0
c0804225-a379-ccfa-c385-4aef8aeff528,1,1,2,0.15,22.0,16.0,14.0,14.0,18.0,14.0
1e5951fb-402a-f940-2988-26e0add446ec,6,6,5,0.622850484375,21.0,16.0,14.0,15.0,16.0,14.0
507c3f2b-9f30-4427-9378-34bf8718d9e8,9,9,5,0.7683830537167969,22.0,16.0,15.0,16.0,20.0,15.0
9f8ddd9e-c231-8156-48e5-9a0122d4e1a9,13,13,5,0.8790945064342538,19.0,15.0,12.0,13.0,18.0,12.0
40eb07b3-6a8c-ffff-1cb0-e467d75e3c5a,4,4,5,0.47799375,27.0,21.0,21.0,21.0,25.0,21.0
a5a248b2-d5a2-dc30-0ffa-f6b42106c9a2,6,6,5,0.622850484375,30.0,24.0,27.0,26.0,31.0,24.0
311844e0-c315-c837-927e-509dc4be8a6e,1,1,2,0.15,22.0,18.0,18.0,16.0,20.0,16.0
9a2d2bde-f43a-31a8-fe42-daf3baf03847,1,1,2,0.15,18.0,12.0,12.0,11.0,16.0,11.0
77b8bc53-548f-4a6b-b78e-752a8e3b5b6e,1,1,2,0.15,22.0,18.0,13.0,19.0,21.0,13.0
467d93e7-2bd2-4de4-8d2c-34863a13690f,1,1,2,0.15,23.0,20.0,15.0,19.0,23.0,15.0
7fb096a5-f053-f701-9fbb-9c0352c6d495,9,9,5,0.7683830537167969,18.0,12.0,9.0,11.0,16.0,9.0
64deece7-ad0c-26fd-2333-561fe27b60e9,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
2aba6482-355e-1fde-5d81-310d98c71b75,3,3,5,0.385875,19.0,14.0,14.0,13.0,19.0,13.0
fca93490-2b22-b783-0335-6f0d5db591f3,2,2,2,0.2775,20.0,15.0,14.0,15.0,18.0,14.0
b9af0af3-d812-c844-3ce8-8da3d833a43f,3,3,5,0.385875,18.0,13.0,12.0,6.0,16.0,6.0
d68c80da-3303-78c2-a490-1523fc53f233,22,22,5,0.9719962387914384,18.0,12.0,11.0,11.0,14.0,11.0
72a548d4-88ca-4ecf-bad1-92b0f0478268,8,8,5,0.7275094749609375,18.0,13.0,13.0,13.0,17.0,13.0
418b178f-4405-ccb5-fe0a-b9ab614520e3,15,15,5,0.9126457808987484,17.0,12.0,10.0,10.0,16.0,10.0
c2c8b129-3353-f466-193e-eb30b5272714,9,9,5,0.7683830537167969,20.0,16.0,14.0,15.0,18.0,14.0
3cc983a0-7d6b-f066-0171-36222320b828,2,2,4,0.2775,18.0,13.0,12.0,12.0,16.0,12.0
931f7202-91fd-ab26-c07d-06518289ef06,213,213,5,0.9999999999999996,16.0,8.0,10.0,10.0,13.0,8.0
1403bba4-a5a7-1404-2dac-5b4f7205a28e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
5fc4472d-7e94-4bc9-8b30-372a77da8c10,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
d2137dbc-686f-4e8c-974e-da3095d24380,2,2,4,0.2775,27.0,21.0,19.0,20.0,25.0,19.0
4178ebb7-37f6-a9f6-8925-1046e1088fc6,2,2,4,0.2775,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
15ba659f-5f5c-4123-03e8-3adc730cd15c,14,14,5,0.8972303304691157,19.0,16.0,16.0,16.0,20.0,16.0
dcf2f0f9-8c8e-46c5-9c97-28f388da61b8,1,1,2,0.15,30.0,27.0,27.0,26.0,31.0,26.0
90177d7c-4200-8b45-4645-b1dfbf54d65d,8,8,5,0.7683830537167969,17.0,11.0,11.0,11.0,15.0,11.0
ad1c7dad-f3e6-4c68-821b-239964404e87,1,1,2,0.15,28.0,24.0,22.0,23.0,27.0,22.0
e9abc436-c085-3278-843d-6c477c0d0329,17,17,5,0.946353590194444,19.0,14.0,10.0,14.0,18.0,10.0
cbc979fc-f621-4084-9a79-ac853c478eeb,7,7,5,0.67942291171875,28.0,21.0,20.0,22.0,26.0,20.0
e071bbdb-77e5-4b91-b080-0c65f2883c5e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
22dc0b72-97ce-51b8-17e0-19b3c25f9552,18,18,5,0.9544005516652772,18.0,14.0,12.0,14.0,17.0,12.0
3337763e-50fa-82c9-04ce-47a50c68cf7e,2,2,4,0.2775,18.0,13.0,12.0,13.0,16.0,12.0
ec2af6b8-db41-3fa6-408f-2fd7823c0d5b,15,15,5,0.9126457808987484,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
9a2cf23b-3f0a-4fcc-b105-3620d9311a7e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
41d6d684-1c06-1713-ea98-191626f060a9,6,6,5,0.622850484375,23.0,19.0,18.0,18.0,22.0,18.0
23d9dfb6-c110-6b59-74ff-39e578e7fa07,6,6,5,0.622850484375,22.0,14.0,15.0,17.0,19.0,14.0
ab5fb1b3-ef82-4d02-9ca8-9ebc97765f88,1,1,2,0.15,27.0,22.0,23.0,23.0,27.0,22.0
d10cafe7-9b84-4d60-9f8c-e7ebab246efa,12,12,5,0.857758242863828,15.0,12.0,10.0,11.0,16.0,10.0
044a1684-b8ff-b572-a85a-e960ff6cca9f,47,47,5,0.9995183966395884,19.0,15.0,14.0,13.0,19.0,13.0
20a2e02a-eeaf-5eb9-7c8a-8049e2b4cbbb,5,5,5,0.5562946875,17.0,12.0,12.0,11.0,16.0,11.0
487a1b17-fc41-4763-b2c6-1b8939bc6560,1,1,2,0.15,22.0,18.0,13.0,19.0,21.0,13.0
edbeb88d-4848-6153-6637-ac57cb6e21f3,2,2,4,0.2775,18.0,13.0,12.0,13.0,16.0,12.0
d03e1493-9f82-fc91-579d-eafe49fc52b2,2,2,4,0.2775,20.0,16.0,16.0,15.0,20.0,15.0
356930b6-3dcb-85e7-8e8f-e77e284bd5e5,3,3,4,0.47799375,21.0,16.0,14.0,15.0,20.0,14.0
60e07cae-3484-e40a-9aef-ea770ded2dfa,3,3,4,0.385875,24.0,19.0,18.0,18.0,23.0,18.0
b28189b7-392d-dcab-3db6-a18f4c8c91cf,1,1,2,0.15,19.0,13.0,13.0,13.0,17.0,13.0
c89850ae-8cf1-9dca-c05f-dba2098041e5,6,6,5,0.67942291171875,16.0,12.0,12.0,11.0,17.0,11.0
52537445-57cb-2ead-7cdf-88474833f5fe,1,1,2,0.15,20.0,16.0,16.0,15.0,20.0,15.0
aedcd7d9-6269-44da-ab08-eaa07b993623,2,2,4,0.2775,22.0,18.0,17.0,19.0,21.0,17.0
9f538ceb-8876-4ad9-b1e2-e9a0509fbd69,1,1,2,0.15,24.0,17.0,16.0,17.0,20.0,16.0
161c22ae-ed42-4f34-86f6-bb54583f12c1,2,2,4,0.2775,22.0,16.0,15.0,13.0,20.0,13.0
cf9ed35d-5ebd-208c-0889-e0c768f261a9,4,4,5,0.47799375,17.0,11.0,9.0,11.0,15.0,9.0
9e66eef4-98eb-47bb-a1d3-7942920781e8,1,1,2,0.15,24.0,17.0,16.0,17.0,20.0,16.0
849d21b9-3cea-41fa-1ea8-b04606406362,2,2,4,0.2775,23.0,17.0,16.0,17.0,21.0,16.0
323a70c9-9317-4c84-a331-04f08c9a413d,1,1,2,0.15,32.0,26.0,24.0,26.0,29.0,24.0
52e1696f-d3bc-2f16-dc56-a4c2ba87fd07,1,1,2,0.15,21.0,13.0,14.0,14.0,19.0,13.0
298a782f-4601-dae0-b328-f0dd941b1f0b,13,13,5,0.8790945064342538,19.0,14.0,12.0,11.0,17.0,11.0
a7636bb8-74e2-09ec-3837-f162f6b1a2da,1,1,2,0.15,21.0,14.0,15.0,14.0,18.0,14.0
5e272900-6ab6-403d-972e-f46dfe615170,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
6b47c6bd-1808-bc16-cabc-2005072398a6,38,38,5,0.9979206903115688,17.0,10.0,11.0,11.0,15.0,10.0
5f334995-c91d-422d-ae9d-f6666a8b255b,5,5,5,0.5562946875,20.0,17.0,16.0,15.0,18.0,15.0
88adfeaa-1a43-4f89-8380-6140970ce7a0,5,5,5,0.5562946875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
5b3225b3-8d8d-fba4-fa36-4cf60a35e86c,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
860c200e-9371-081f-0ead-c0717499cb16,1,1,2,0.15,18.0,15.0,13.0,13.0,18.0,13.0
5c8698fa-158d-306e-8412-9bff14e4996b,1,1,2,0.15,20.0,14.0,12.0,14.0,17.0,12.0
62faf6ca-48e4-61bd-ac66-c1318d0270c4,28,28,5,0.9894383950245128,16.0,11.0,10.0,10.0,15.0,10.0
9da11abe-494b-bb5f-aa9f-56b47102787a,3,3,5,0.385875,14.0,13.0,11.0,11.0,15.0,11.0
e49e45b1-e534-b7e9-df99-54aed6197ad7,1,1,2,0.15,27.0,22.0,21.0,22.0,25.0,21.0
7734923a-31bf-4f15-9200-e2894744315a,3,3,5,0.385875,19.0,12.0,14.0,14.0,18.0,12.0
04da49c7-56b4-43e2-9e2e-649dd505d204,1,1,2,0.15,26.0,21.0,19.0,21.0,25.0,19.0
c81434f6-947b-132f-5460-912cc50de46b,18,18,5,0.9544005516652772,28.0,23.0,21.0,21.0,27.0,21.0
70f7592d-921c-4ec4-121a-2f70094c847c,2,2,4,0.2775,18.0,14.0,12.0,11.0,16.0,11.0
d5d2a38a-3884-7d31-544e-0c8015ce1b27,1,1,2,0.15,24.0,21.0,20.0,21.0,24.0,20.0
e15f5b23-b4f3-2a53-3809-ceab3e6cb326,1,1,2,0.15,18.0,12.0,12.0,11.0,15.0,11.0
8e0d7c01-7433-4d17-2af1-0ed29986d4c3,7,7,5,0.67942291171875,18.0,14.0,13.0,13.0,16.0,13.0
8c00c606-d48d-4091-8ad2-986505f8fafa,1,1,2,0.15,25.0,19.0,16.0,18.0,22.0,16.0
ba894862-b8ef-9d3b-d12b-e886fb1efbcb,1,1,2,0.15,27.0,21.0,20.0,21.0,25.0,20.0
