uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
32dc7367-e473-4714-8f85-f529ebf736dc,15,15,5,0.9519551794943116,23.0,17.0,16.0,16.0,20.0,16.0
77afbf38-5af8-2209-08ac-d3398344d8ac,1,1,2,0.15,20.0,14.0,12.0,14.0,18.0,12.0
ad9a216d-772f-011e-2fad-76cc75166310,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
e0152a27-2628-cfac-3e22-ed82940c6c80,8,8,5,0.7275094749609375,21.0,15.0,14.0,14.0,20.0,14.0
d7f1f466-6b5f-9066-91fd-b2ed81727711,1,1,2,0.15,27.0,20.0,19.0,19.0,25.0,19.0
55773275-a018-721c-0751-7bae9e7bb2ff,1,1,2,0.15,22.0,18.0,18.0,18.0,20.0,18.0
6edb46c1-9d31-d464-322d-51acb7c83415,7,7,5,0.67942291171875,27.0,22.0,21.0,21.0,24.0,21.0
853eaf16-8136-e2bd-d211-a7a6f9469c2a,1,1,2,0.15,22.0,17.0,15.0,16.0,21.0,15.0
e95fdb87-d3cc-0c0d-468d-fe0af2b5d352,5,5,5,0.5562946875,24.0,17.0,18.0,17.0,23.0,17.0
8978c722-1079-4ed3-8089-4229eac57a86,1,1,2,0.15,22.0,18.0,18.0,16.0,20.0,16.0
e4758fd7-9c47-a3a4-dd16-c12babbc0cfb,3,3,5,0.385875,25.0,20.0,19.0,15.0,25.0,15.0
836927ec-3fe5-2d13-ddf4-e1a3085d954d,3,3,5,0.385875,17.0,10.0,11.0,12.0,14.0,10.0
c0804225-a379-ccfa-c385-4aef8aeff528,1,1,2,0.15,22.0,16.0,14.0,14.0,18.0,14.0
91afc9d7-7f21-8366-4193-76f91b8e5494,2,2,4,0.2775,17.0,12.0,12.0,10.0,16.0,10.0
02d56291-bbc7-d138-b342-82db35a1c8d2,1,1,2,0.15,19.0,15.0,14.0,13.0,17.0,13.0
78d4f017-50fd-4095-63ff-281714cd253c,3,3,5,0.385875,22.0,18.0,18.0,17.0,22.0,17.0
d065c1ed-f788-76f4-d7e0-60d9b1a66a14,1,1,2,0.15,24.0,18.0,16.0,18.0,18.0,16.0
27936615-2781-04e6-14fa-afd337c4aa39,12,12,5,0.857758242863828,19.0,12.0,11.0,12.0,17.0,11.0
