uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
ec824fac-244c-f07a-388b-fc97d95b8543,4,4,5,0.47799375,24.0,17.0,17.0,17.0,21.0,17.0
5b3225b3-8d8d-fba4-fa36-4cf60a35e86c,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
bf1b14d7-30d5-ea0d-aa53-6ec696828e06,54,54,5,1.000054036851045,14.0,9.0,10.0,10.0,14.0,9.0
a1539977-df88-038e-966d-2482a670ba22,2,2,4,0.2775,23.0,17.0,15.0,17.0,21.0,15.0
43ad41fd-bdab-1c93-a827-6971ed19efc0,8,8,5,0.7275094749609375,22.0,18.0,16.0,17.0,19.0,16.0
d8976063-7445-9ccb-706d-785895bbe08e,1,1,2,0.15,33.0,28.0,28.0,27.0,31.0,27.0
2833ca24-9091-0936-65d8-f3e55096bc2e,3,3,4,0.47799375,20.0,13.0,13.0,14.0,18.0,13.0
756b8f3d-7384-9d07-d109-40173657f659,15,15,5,0.9126457808987484,23.0,18.0,16.0,18.0,21.0,16.0
c10a3459-e9b5-a7fc-b5b0-f5770e2ee5ab,4,4,2,0.6345956249999999,22.0,16.0,15.0,16.0,19.0,15.0
70c18a2b-5d80-b6a4-1541-012156c3388a,14,14,5,0.9126457808987484,18.0,12.0,11.0,11.0,14.0,11.0
b45cbd3c-2b59-4c2c-b8c8-a2d9324e131b,3,3,5,0.385875,22.0,16.0,15.0,15.0,20.0,15.0
fa73a551-a1d5-e57f-30a5-0e6fccb932a6,4,4,5,0.47799375,30.0,24.0,24.0,25.0,29.0,24.0
25c1e411-a1cd-4518-a0e9-035cff978269,1,1,2,0.15,26.0,21.0,20.0,18.0,22.0,18.0
57222aa9-5158-c4c9-bed3-722a934b2dfb,3,3,5,0.385875,25.0,20.0,19.0,18.0,23.0,18.0
d3e342d4-8431-cdc2-5b1a-8071661e6e16,3,3,5,0.385875,19.0,15.0,12.0,15.0,18.0,12.0
79f66878-1932-5074-472c-5507fdd85114,26,26,5,0.98757458238178,18.0,13.0,10.0,12.0,15.0,10.0
04959a10-ea53-4f0d-9712-37364dca1919,2,2,2,0.2775,27.0,22.0,22.0,21.0,26.0,21.0
67438de8-e4be-3dcf-b4dd-e05797805e72,1,1,2,0.15,19.0,13.0,13.0,14.0,17.0,13.0
5d2592e4-31b3-0ceb-6ed2-47862475ef12,1,1,2,0.15,23.0,17.0,16.0,17.0,20.0,16.0
1a3fa9b2-a5a7-0b47-15af-5984cbb0b9a9,59,59,5,0.9999314958917724,16.0,10.0,8.0,11.0,16.0,8.0
