uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
4e406f91-1671-666b-6530-287c4a79223c,1,1,2,0.15,24.0,20.0,17.0,19.0,21.0,17.0
ade23d88-8214-81f0-4819-a7419d58afe2,1,1,2,0.15,18.0,14.0,13.0,13.0,16.0,13.0
edfa0214-f0fa-98ec-3a59-fe77919956cd,164,164,5,0.9999999999973408,15.0,10.0,9.0,9.0,13.0,9.0
b04b1183-516d-49ae-9337-1992bc50e3f8,4,4,5,0.47799375,16.0,15.0,13.0,13.0,18.0,13.0
9decd271-02f7-c01a-9f92-acfc50e4aa93,1,1,2,0.15,18.0,12.0,11.0,12.0,17.0,11.0
006d0b80-23fd-e6d6-b916-1fb3e39ecdee,3,3,4,0.47799375,20.0,16.0,15.0,15.0,19.0,15.0
04b416c6-75c5-b903-5b7a-326fac7a6bc5,9,9,5,0.8031255956592774,23.0,17.0,15.0,16.0,17.0,15.0
d9f83d26-2413-46f5-ae2e-330393f90e31,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
e6473aa1-22c0-f31d-a640-a4d5fbf92606,7,7,5,0.67942291171875,24.0,21.0,18.0,15.0,23.0,15.0
217cff29-77ce-9f6f-377d-34605e56cf24,1,1,2,0.15,20.0,14.0,11.0,14.0,17.0,11.0
9bf610a4-bd22-428e-a968-1f77c092a477,7,7,5,0.7275094749609375,22.0,17.0,15.0,17.0,22.0,15.0
1cc0182f-0272-407b-993f-caf736a6f342,3,3,5,0.385875,17.0,11.0,11.0,12.0,16.0,11.0
59c9df83-dd11-4599-bb67-f3d35cf5e306,2,2,2,0.2775,26.0,19.0,20.0,20.0,22.0,19.0
9cdff75b-5d77-4c44-99a1-e451ad54490f,1,1,2,0.15,30.0,26.0,25.0,23.0,26.0,23.0
d1ba0947-9375-c8b3-1f22-5d938268a226,1,1,2,0.15,26.0,20.0,20.0,20.0,25.0,20.0
1187fe53-542f-2f5d-f04f-8440b4b3c859,1,1,2,0.15,25.0,17.0,18.0,18.0,21.0,17.0
f0231a84-e62a-4a93-a02f-ea4803598e5d,2,2,4,0.2775,29.0,23.0,23.0,24.0,27.0,23.0
7607a659-94fa-3547-f6e0-8ee5b99363b5,24,24,5,0.9797672825268142,19.0,13.0,13.0,13.0,17.0,13.0
5604d13d-a113-f00f-e3da-4289a372a08b,2,2,4,0.2775,33.0,28.0,26.0,26.0,31.0,26.0
20f37a46-72fc-def5-9675-6c9d0979cf35,10,10,5,0.8031255956592774,21.0,18.0,17.0,17.0,22.0,17.0
d475b411-aa55-19c6-c518-5f3525473e82,11,11,5,0.857758242863828,22.0,18.0,17.0,17.0,21.0,17.0
f557a4d4-f051-479c-9f4b-62990e0ceb99,4,4,2,0.7128965625,22.0,17.0,17.0,16.0,21.0,16.0
eb8b3c03-0e08-a6c1-9224-a9c63110169b,45,45,5,0.9993334209544478,18.0,13.0,13.0,12.0,18.0,12.0
65b186f6-fee2-de48-c0f4-f6b148a92d8b,1,1,2,0.15,28.0,26.0,24.0,24.0,28.0,24.0
e6659047-8a99-d47e-520b-fc7fc621288f,30,30,5,0.9923692404052106,16.0,10.0,10.0,11.0,14.0,10.0
7c80b50b-4ee4-4be7-b81b-70a0b2ae258d,2,2,2,0.385875,31.0,26.0,26.0,25.0,30.0,25.0
9de76a5b-1689-466f-a61a-fb459b7c3e2f,7,7,5,0.67942291171875,22.0,17.0,14.0,17.0,19.0,14.0
5a7be4f7-5323-4279-a57c-19b032297cfc,19,19,5,0.9544005516652772,21.0,16.0,13.0,17.0,20.0,13.0
6d41bbb3-becf-4f17-85e4-2c0aa364f465,1,1,2,0.15,23.0,18.0,17.0,17.0,21.0,17.0
25f6b428-264f-df93-4936-5d3b1a096cca,3,3,5,0.385875,22.0,17.0,16.0,16.0,21.0,16.0
29870a7c-07ed-5748-2ef2-87c26fa8eb3c,63,63,5,0.9999749682991482,17.0,9.0,10.0,11.0,13.0,9.0
9cdd515b-2afd-67cb-4132-959857f28b37,2,2,4,0.2775,23.0,18.0,17.0,17.0,20.0,17.0
458ac8b8-7ef3-4f0d-84fa-dc53a89b2ffd,1,1,2,0.15,24.0,19.0,18.0,19.0,21.0,18.0
6a3be8d2-e4ed-c529-2d4b-41b6051336d6,15,15,5,0.938852046629124,15.0,11.0,9.0,11.0,13.0,9.0
fcca57e3-ef74-4eb7-8f04-4d58da328e24,2,2,4,0.2775,22.0,17.0,13.0,16.0,21.0,13.0
ad3e3db3-9592-4622-9317-7adea64ac8b5,3,3,5,0.385875,22.0,16.0,15.0,16.0,19.0,15.0
a11effe5-c01f-d17d-daaf-43c945d96b8e,9,9,5,0.8378681376017578,32.0,27.0,24.0,27.0,31.0,24.0
a7dc5f97-fc16-52e6-a182-e61b404eff1f,1,1,2,0.15,24.0,21.0,20.0,21.0,24.0,20.0
00fca4f4-c9c7-1adb-5c80-8749902f965c,1,1,2,0.15,25.0,21.0,20.0,21.0,22.0,20.0
7139a802-b153-b63b-0d88-08910799e717,5,5,5,0.5562946875,30.0,23.0,24.0,23.0,28.0,23.0
7a915066-a817-ce07-18b5-95aefd3683f8,1,1,2,0.15,20.0,17.0,16.0,17.0,21.0,16.0
e52f0a47-59c9-e2d2-9a28-95f424dfca36,5,5,5,0.5562946875,24.0,19.0,18.0,18.0,20.0,18.0
70de6ee3-b009-4758-a284-48e611129cec,13,13,5,0.8790945064342538,18.0,13.0,10.0,12.0,17.0,10.0
3432d3d2-9bce-1dfc-c38b-a6db2023a16a,14,14,5,0.8972303304691157,19.0,15.0,10.0,15.0,18.0,10.0
a9655662-c8b8-fca4-5eac-9685d97197c8,3,3,5,0.385875,23.0,18.0,15.0,18.0,20.0,15.0
ddb0e387-4387-c21c-9d62-0acbe2824656,7,7,5,0.7275094749609375,22.0,18.0,17.0,17.0,20.0,17.0
6a288942-54f7-387c-ab9a-2d5d830cc814,13,13,5,0.8972303304691157,27.0,24.0,21.0,22.0,26.0,21.0
f720b632-4205-4562-82d3-beb9f989de74,7,7,5,0.67942291171875,16.0,15.0,13.0,13.0,18.0,13.0
f4cad525-82e1-b3ee-6f66-37b3b0489d61,10,10,5,0.8031255956592774,22.0,16.0,15.0,15.0,19.0,15.0
