uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
268082d8-7bfa-4636-8155-02a8af3e42bb,1,1,2,0.15,30.0,24.0,23.0,24.0,27.0,23.0
94f9183c-4d14-4a2d-84aa-9e4da00c34bc,6,6,5,0.622850484375,15.0,11.0,11.0,9.0,15.0,9.0
ffc74b70-c3c4-fb53-5043-878a649dcb37,1,1,2,0.15,29.0,23.0,21.0,23.0,26.0,21.0
4b5736b5-42d2-3741-4722-f27360730f50,7,7,5,0.67942291171875,21.0,15.0,15.0,16.0,19.0,15.0
fae44d9b-0193-a82f-df46-0e8e064e93d1,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
576db06f-6856-1e1b-405b-2156a5a44d1e,3,3,5,0.385875,24.0,17.0,19.0,18.0,22.0,17.0
554512ff-dcb4-d4a2-a2ce-89b99c0f16a3,12,12,5,0.857758242863828,20.0,14.0,14.0,14.0,17.0,14.0
dd650bec-4b45-d188-cf56-053279f040c7,3,3,4,0.47799375,20.0,15.0,13.0,15.0,20.0,13.0
227a2a57-4f03-4a97-be4d-5f226936a4c4,3,3,4,0.385875,25.0,21.0,19.0,20.0,24.0,19.0
b7d89773-ebf8-ac85-a613-0201670f1e8b,14,14,5,0.8972303304691157,19.0,12.0,13.0,11.0,17.0,11.0
a01856e5-4699-784c-323c-e67b4665607f,1,1,2,0.15,20.0,18.0,17.0,15.0,20.0,15.0
2e95c3a5-62aa-8127-e5b0-7816ea5770b6,1,1,2,0.15,28.0,22.0,22.0,22.0,18.0,18.0
f9f72e7a-a904-4ac0-929f-a2b84bbc73a7,1,1,2,0.15,31.0,27.0,22.0,25.0,29.0,22.0
f0bbbf87-338f-45b2-9720-ad10754f1cd1,3,3,5,0.385875,18.0,13.0,13.0,10.0,16.0,10.0
a36939e2-e735-9692-b82d-132053aac7f5,17,17,5,0.9368865766993456,18.0,12.0,9.0,13.0,15.0,9.0
2aab5dd1-ba8c-4905-babe-89661f4dc5ae,8,8,5,0.7275094749609375,19.0,15.0,10.0,16.0,18.0,10.0
eff55473-ab98-4b66-8fcb-8a86538f0f76,1,1,2,1.0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
c7f7adcf-e5f6-00bb-2299-e2c7f49b6970,6,6,5,0.622850484375,19.0,13.0,10.0,11.0,17.0,10.0
cd05191c-488a-37af-7983-e2347c35c5f6,15,15,5,0.9126457808987484,18.0,14.0,13.0,12.0,16.0,12.0
33a3cafc-1e2a-4982-9d21-b8579be54247,1,1,2,1.0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
ed62e0c1-9933-42ff-d4b9-0429c613f423,79,79,5,0.9999977430909546,14.0,10.0,9.0,9.0,13.0,9.0
2aa96cd1-c1c7-2f27-856d-548a2cf1b7b8,21,21,5,0.9670543985781628,21.0,16.0,15.0,16.0,19.0,15.0
181e90a5-3fb9-747b-6555-aa4e05b60362,1,1,2,0.15,18.0,13.0,13.0,13.0,17.0,13.0
8af86568-3e81-40a3-aecc-8e422a571eef,5,5,5,0.5562946875,22.0,20.0,18.0,17.0,21.0,17.0
83c83037-122a-76df-6fd9-aa495f76750d,146,146,5,0.9999999999504364,16.0,12.0,7.0,13.0,14.0,7.0
a8423e54-596d-7411-a316-9c7dc762be0e,155,155,5,0.999999999990242,16.0,12.0,11.0,11.0,14.0,11.0
5943912c-f437-4e75-86ec-b6662a3e5322,6,6,5,0.622850484375,25.0,21.0,19.0,18.0,23.0,18.0
b1621af7-9bd1-4aa2-8db0-6728e4324231,1,1,2,0.15,30.0,24.0,24.0,23.0,28.0,23.0
6073bc6b-9d82-4545-aa61-5928b5ae973a,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
865ea343-a85f-48fb-950c-24095712a22f,11,11,5,0.8326567563103858,16.0,12.0,8.0,11.0,15.0,8.0
cc6b8dd0-e8a7-15a9-598b-1bb5940a02a7,39,39,5,0.9982325867648336,18.0,11.0,12.0,11.0,16.0,11.0
76c0ce82-2b71-1c0d-385f-1d6ee167ba60,12,12,5,0.857758242863828,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
5d7696d0-2837-be6d-1a5e-d9632372aacd,10,10,5,0.8031255956592774,21.0,14.0,14.0,13.0,19.0,13.0
4a661be9-4d4d-aa50-1396-08004af4a564,6,6,5,0.622850484375,22.0,15.0,13.0,17.0,20.0,13.0
afc9c039-9eb1-4e16-be45-38ffa377e0b6,8,8,5,0.7275094749609375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
ef12f0c8-35aa-85bb-40ce-72b0b94d2aa2,7,7,5,0.67942291171875,17.0,11.0,11.0,10.0,15.0,10.0
62ce5b94-ae5a-4d87-8430-a7488bdac109,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
9b68c371-889c-ce41-33f3-19062bc5127f,1,1,2,0.15,21.0,15.0,15.0,16.0,20.0,15.0
81197977-35e3-4dce-84ba-a9be18327e2e,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
cd5ebb6d-f7c7-9ba6-871e-8e8f822d5bd9,20,20,5,0.9670543985781628,15.0,13.0,11.0,12.0,17.0,11.0
a144cec4-7a73-c500-e162-6fd608aab4d5,143,143,5,0.9999999999314,15.0,10.0,10.0,9.0,14.0,9.0
a6caf982-0abf-022f-5586-6b15764d34ab,3,3,5,0.385875,12.0,11.0,9.0,9.0,14.0,9.0
c6d45b14-1a58-4920-903e-df80b6ebacba,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
56b8d5cd-4df2-8ae7-4e9b-54263c349c3f,3,3,4,0.47799375,22.0,17.0,13.0,14.0,20.0,13.0
35817b71-7ecc-73bf-8cdc-2126221f34dd,1,1,2,0.15,18.0,13.0,12.0,13.0,18.0,12.0
4a97f042-2d36-c628-178a-afbb0945a362,546,546,5,0.9999999999999996,14.0,10.0,10.0,9.0,14.0,9.0
710a0754-e868-0f7b-5642-4c4737696f1f,1,1,2,0.15,20.0,14.0,13.0,13.0,18.0,13.0
03dc8ac7-7084-eeac-2d89-72e316e424ae,6,6,4,0.79256776640625,16.0,11.0,11.0,10.0,15.0,10.0
fb563ce2-f323-4d67-9ab8-34153116781c,3,3,5,0.385875,22.0,19.0,14.0,18.0,22.0,14.0
afdd90dc-f8af-85ac-adfb-f144dc7e0618,1,1,2,0.15,20.0,14.0,12.0,14.0,17.0,12.0
fcecc9ca-93f0-4b2c-8b21-9cad6ff9c48d,1,1,2,0.15,21.0,16.0,15.0,17.0,18.0,15.0
541f02b5-e523-4a1f-b0c1-4a3b0e4400a0,2,2,4,0.2775,28.0,26.0,25.0,25.0,29.0,25.0
7109901d-7e69-4cda-9d56-e87ca6aca391,2,2,4,0.2775,31.0,27.0,26.0,26.0,31.0,26.0
4e1d559a-8ad4-4500-a8bb-5872eb593c4a,7,7,5,0.67942291171875,27.0,22.0,18.0,20.0,24.0,18.0
ba85964b-db26-4192-8795-47fa4d22f808,1,1,2,0.15,22.0,19.0,17.0,17.0,20.0,17.0
672a888a-1add-a4aa-9303-2ececd84c665,16,16,5,0.925748913763936,19.0,14.0,11.0,14.0,15.0,11.0
2533d157-0438-4a96-b7b3-a8c0688aed7d,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
97c50615-d297-4fea-9c63-e7cb4b7a8f28,1,1,2,0.15,24.0,18.0,18.0,19.0,23.0,18.0
5231e70a-7fd2-40d9-8c5d-6e51ddd3eabd,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
b3b6a5cd-c5bf-5e5b-b8f2-a3ac1e3ad9d0,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
f3c3c4f7-6add-e751-6719-bb5b2427f2a0,41,41,5,0.9987230439375924,16.0,11.0,10.0,11.0,14.0,10.0
93e33863-6ece-1a6c-f1df-4ee227de1f1f,6,6,4,0.622850484375,27.0,22.0,22.0,21.0,26.0,21.0
a94637ca-c90d-5863-35d0-eb931a996d1d,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
ab66364d-18cb-48d5-b89f-c394cd15d4cb,1,1,2,0.15,29.0,24.0,23.0,23.0,27.0,23.0
fe2a892c-0d23-4781-97e1-32017306a507,1,1,2,0.15,22.0,18.0,18.0,16.0,20.0,16.0
aab495e6-d51f-0420-cead-9e250a481f30,2,2,2,0.385875,22.0,13.0,16.0,13.0,19.0,13.0
fe1b9338-d4ed-2ccf-30d2-27e70736ab84,1,1,2,0.15,28.0,23.0,22.0,22.0,26.0,22.0
7abd482c-d62c-ace6-af4a-9065bf3a0aed,8,8,5,0.7683830537167969,28.0,22.0,22.0,22.0,25.0,22.0
f5074e32-8dbc-10f3-3d3e-d3b8bc1deb07,57,57,5,0.9999194069314972,17.0,10.0,11.0,9.0,14.0,9.0
800bd7d9-353b-f347-d79d-c93d4a14b0f1,4,4,5,0.47799375,27.0,23.0,20.0,20.0,26.0,20.0
6bb50e34-d133-26cc-bb91-4418a9bc7906,6,6,5,0.622850484375,20.0,15.0,14.0,14.0,19.0,14.0
ade23d88-8214-81f0-4819-a7419d58afe2,1,1,2,0.15,18.0,14.0,13.0,13.0,16.0,13.0
edfa0214-f0fa-98ec-3a59-fe77919956cd,164,164,5,0.9999999999973408,15.0,10.0,9.0,9.0,13.0,9.0
da17341e-e708-3ea2-dfd4-d6fb0bce6e87,2,2,4,0.2775,17.0,11.0,11.0,11.0,15.0,11.0
f053d31d-ab17-d64b-4cba-681f383097a1,2,2,4,0.2775,20.0,16.0,15.0,14.0,18.0,14.0
65bb4bfe-1fb4-0dec-8cc4-3c68c0a4f664,15,15,5,0.9126457808987484,17.0,11.0,10.0,9.0,15.0,9.0
d9f83d26-2413-46f5-ae2e-330393f90e31,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
dc49c625-7a46-3b2c-7eb7-ef742cf8f87c,1,1,2,0.15,23.0,19.0,18.0,18.0,23.0,18.0
40a4d8ec-427b-19dd-7e92-3b0013c0d9fe,1,1,2,0.15,19.0,14.0,13.0,14.0,18.0,13.0
d4d5cb9a-afcd-4f5e-9cf2-d6229db6a21f,7,7,5,0.7275094749609375,23.0,16.0,15.0,16.0,20.0,15.0
97d0e590-6056-ece6-22fe-df0cd8d30693,1,1,2,0.15,20.0,13.0,13.0,14.0,19.0,13.0
ace53942-7ff5-70ee-7f14-b65bb99c884f,14,14,5,0.8972303304691157,18.0,12.0,10.0,10.0,16.0,10.0
471d7906-d3b4-5b1d-23d7-d16a791b494a,7,7,5,0.67942291171875,20.0,17.0,14.0,16.0,18.0,14.0
4d970133-639c-bb36-0782-a620613a7aba,6,6,5,0.622850484375,26.0,22.0,18.0,20.0,22.0,18.0
e6659047-8a99-d47e-520b-fc7fc621288f,30,30,5,0.9923692404052106,16.0,10.0,10.0,11.0,14.0,10.0
3931c677-5fa6-a417-ba94-6096d0bbbe86,5,5,5,0.5562946875,21.0,14.0,13.0,14.0,16.0,13.0
0320c8ee-9375-299d-af5d-39664b937e9f,1,1,2,0.15,27.0,21.0,21.0,23.0,27.0,21.0
29870a7c-07ed-5748-2ef2-87c26fa8eb3c,63,63,5,0.9999749682991482,17.0,9.0,10.0,11.0,13.0,9.0
79e38fee-690f-4bf0-9b33-0b431b9d5552,2,2,4,0.2775,22.0,17.0,15.0,17.0,22.0,15.0
f1c3b0b5-1b34-4f93-a290-c0f3634e9d2b,1,1,2,0.15,34.0,29.0,29.0,29.0,30.0,29.0
63b81479-a281-64b7-ed37-60e3f11512ca,12,12,5,0.8790945064342538,19.0,14.0,10.0,12.0,18.0,10.0
6a3be8d2-e4ed-c529-2d4b-41b6051336d6,15,15,5,0.938852046629124,15.0,11.0,9.0,11.0,13.0,9.0
bb77caed-57f0-ae8d-7780-322c3647063e,1,1,2,0.15,25.0,19.0,20.0,19.0,24.0,19.0
28c50682-a9c1-8ac8-cf10-ff5bc7974dd3,1,1,2,0.15,17.0,13.0,12.0,12.0,16.0,12.0
126eca45-9fa7-4065-b85c-9f1c4a5f5466,4,4,5,0.47799375,20.0,16.0,14.0,17.0,21.0,14.0
1e1f7f08-75bb-9212-8b42-90c237da7bd9,1,1,2,0.15,22.0,15.0,13.0,15.0,20.0,13.0
46c225b3-4a49-263b-805f-172cff7a4b2c,2,2,4,0.2775,28.0,23.0,21.0,23.0,25.0,21.0
470be66f-5167-432b-a7ac-1ee868d6adb1,1,1,2,0.15,22.0,18.0,18.0,17.0,22.0,17.0
80c1d395-0d90-6cd3-18c5-df703e059482,23,23,5,0.9761968029727226,16.0,13.0,12.0,11.0,15.0,11.0
6a95b57c-985c-fad0-034a-6dcbb8423320,3,3,4,0.385875,22.0,16.0,14.0,14.0,18.0,14.0
b8b16644-c4f7-22be-dd7b-07bd4e038311,4,4,5,0.47799375,33.0,28.0,28.0,27.0,30.0,27.0
1a17e496-4a61-d4ca-1a54-ef5cf09cab50,1,1,2,0.15,21.0,19.0,14.0,18.0,21.0,14.0
52386f2e-f7eb-1ce3-5cab-0e57c3af9973,8,8,5,0.7275094749609375,17.0,13.0,11.0,13.0,13.0,11.0
b6d60436-0e8c-e73d-a49f-95259468257b,4,4,5,0.47799375,33.0,28.0,27.0,27.0,30.0,27.0
21d1a828-dc91-36fa-1bab-edbef7ba3474,12,12,5,0.857758242863828,13.0,9.0,8.0,9.0,13.0,8.0
8caf97fb-2c66-8bc6-2e37-0e81700bbb57,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
ad878bfe-d71d-f442-f786-08fdceb569b8,44,44,5,0.9998039473395436,17.0,12.0,10.0,10.0,15.0,10.0
e3a55987-fdbb-cb79-fcb2-7261461b43a5,26,26,5,0.9897673031379364,19.0,12.0,10.0,11.0,16.0,10.0
50149e32-2784-d906-095b-5d2faab0c8ff,1,1,2,0.15,23.0,16.0,16.0,16.0,20.0,16.0
2a941823-8a98-f310-47a0-317de11149d9,1,1,2,0.15,20.0,15.0,11.0,14.0,17.0,11.0
0194f219-027b-40b9-18d2-2e6a3df352fe,14,14,5,0.928061231328381,17.0,11.0,10.0,9.0,15.0,9.0
bce8a4b8-9a36-cda4-a0de-46851f7a8f47,1,1,2,0.15,18.0,13.0,12.0,12.0,15.0,12.0
1e741e0e-2f02-e705-e2f3-bd9d6976683e,2,2,2,0.385875,19.0,12.0,13.0,11.0,17.0,11.0
d82d8d51-b023-653e-ede0-4301fb5515f4,2,2,2,0.385875,22.0,16.0,14.0,15.0,20.0,14.0
647e7621-a9e8-6e06-96c6-a65ba790f869,4,4,4,0.5562946875,19.0,14.0,12.0,12.0,17.0,12.0
5330061d-6bfb-469d-b25d-ae117518db8c,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
cef320e5-e192-a148-0874-dfab596f457f,17,17,5,0.9368865766993456,16.0,12.0,10.0,10.0,10.0,10.0
d4d3a6db-4560-749e-7f12-8107d9c74819,1,1,2,0.15,33.0,28.0,25.0,28.0,31.0,25.0
9365ab00-5027-a70c-0d50-3d7a6ce11a74,1,1,2,0.15,21.0,15.0,13.0,14.0,19.0,13.0
7dc07380-5661-cef0-73a8-e6c77cc6ceb9,1,1,2,0.15,17.0,10.0,11.0,11.0,15.0,10.0
4faf0f23-ded3-06d7-88d2-84963000e568,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
0603064e-9866-4ec8-b56e-44043b1ef15e,6,6,5,0.622850484375,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
6d210fb2-0ad2-8938-421f-8dfda1d3314c,18,18,5,0.946353590194444,20.0,15.0,12.0,14.0,18.0,12.0
45131453-51a3-4e47-aa9b-710c772ec194,9,9,5,0.7683830537167969,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
8d81340b-fe2c-78e6-7f48-3faada3733dc,7,7,5,0.67942291171875,20.0,15.0,14.0,13.0,18.0,13.0
aa5a809e-df53-bf36-4190-05210d74e742,3,3,5,0.385875,17.0,11.0,9.0,9.0,15.0,9.0
ae7d042e-51eb-d96f-6943-07e839452ef8,4,4,5,0.47799375,22.0,17.0,13.0,17.0,20.0,13.0
4a894b13-2f13-7717-0afc-8c708bdc7979,8,8,5,0.7275094749609375,18.0,12.0,10.0,11.0,14.0,10.0
7b89bdcd-073b-67a0-55ce-ba2299e0cd45,1,1,2,0.15,26.0,21.0,20.0,20.0,22.0,20.0
6ade0afd-5aee-fbc6-70c9-72711ae4f2d0,2,2,4,0.2775,24.0,21.0,21.0,21.0,23.0,21.0
cccafd65-c71a-9579-a2e4-cf467dd35506,2,2,4,0.2775,20.0,16.0,14.0,14.0,18.0,14.0
b278b6dc-e179-4f0c-f54a-aec63efbe7bb,30,30,5,0.9935138543444292,18.0,12.0,11.0,11.0,17.0,11.0
1b084b09-61ee-bdd6-d70e-09f46b47ce2a,7,7,5,0.67942291171875,14.0,13.0,11.0,11.0,15.0,11.0
a3e24e1e-97ed-0c16-569f-b9fdb6de4791,20,20,5,0.9612404689154856,18.0,13.0,12.0,12.0,14.0,12.0
4654ce6b-c7dd-1b92-17a5-415263ff2ee1,7,7,5,0.67942291171875,25.0,20.0,16.0,19.0,23.0,16.0
d2e72808-4cdf-0183-631e-758075df08b7,8,8,5,0.7683830537167969,32.0,27.0,27.0,27.0,32.0,27.0
2693528f-b1b9-4914-a90f-cedf18999b9d,2,2,4,0.2775,24.0,20.0,15.0,21.0,22.0,15.0
77cac138-bbd3-2d75-890e-19ba38a4889e,1,1,2,0.15,23.0,17.0,15.0,17.0,20.0,15.0
3b3d6992-3fdd-fe60-f308-8a24bc5436ba,26,26,5,0.9853818616256234,15.0,10.0,10.0,10.0,14.0,10.0
