uuid,in_deg_1,out_deg_1,kc_3,w_pr_1,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3
192acc26-46d6-5961-2a18-2ec462242091,77,77,5,0.9999963250005366,16.0,8.0,9.0,8.0,13.0,8.0
77afbf38-5af8-2209-08ac-d3398344d8ac,1,1,2,0.15,20.0,14.0,12.0,14.0,18.0,12.0
ad9a216d-772f-011e-2fad-76cc75166310,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
9b9d228b-1f80-3a3f-aa11-caa84a173f4d,3,3,5,0.385875,28.0,25.0,20.0,25.0,29.0,20.0
55773275-a018-721c-0751-7bae9e7bb2ff,1,1,2,0.15,22.0,18.0,18.0,18.0,20.0,18.0
a4fb01af-d0f4-2089-2f1c-5179cfbb9b09,2,2,2,0.2775,28.0,21.0,21.0,22.0,25.0,21.0
2f0db542-6467-d7e7-d1d0-ea539df86b7a,9,9,5,0.7683830537167969,16.0,10.0,9.0,10.0,14.0,9.0
692df345-075c-f2dd-ad7f-824ea4a951e3,3,3,5,0.385875,15.0,10.0,9.0,11.0,13.0,9.0
0cd7044a-c7b1-3ac1-5c7b-002219c79f0b,3,3,5,0.385875,20.0,15.0,13.0,14.0,18.0,13.0
c0685391-aa5e-2d0a-b80b-888af7d89528,10,10,5,0.8031255956592774,17.0,13.0,12.0,12.0,17.0,12.0
30a89ac5-0f0f-466a-b1a0-23820dd9062d,1,1,2,0.15,28.0,26.0,23.0,23.0,28.0,23.0
bc473ffe-d99a-828e-1175-8b0eff73bd5f,19,19,5,0.9612404689154856,17.0,14.0,11.0,13.0,18.0,11.0
fec4e081-c855-4144-ba93-219a026b131c,49,49,5,0.9996520415721027,19.0,13.0,14.0,14.0,17.0,13.0
26ca9548-b159-4da8-bfac-a3c6459a5db4,2,2,4,0.2775,24.0,17.0,16.0,17.0,23.0,16.0
4248ffc8-f4fb-8d83-c13e-7fce6c09af74,77,77,5,0.9999963250005366,16.0,9.0,10.0,8.0,14.0,8.0
747ec03e-d683-b53b-9d11-a34d2e9b1f88,22,22,5,0.9761968029727226,17.0,12.0,12.0,12.0,17.0,12.0
64deece7-ad0c-26fd-2333-561fe27b60e9,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
b9af0af3-d812-c844-3ce8-8da3d833a43f,3,3,5,0.385875,18.0,13.0,12.0,6.0,16.0,6.0
72a548d4-88ca-4ecf-bad1-92b0f0478268,8,8,5,0.7275094749609375,18.0,13.0,13.0,13.0,17.0,13.0
418b178f-4405-ccb5-fe0a-b9ab614520e3,15,15,5,0.9126457808987484,17.0,12.0,10.0,10.0,16.0,10.0
f1e47ff1-f64b-4141-9f10-25f6ee6c7276,2,2,4,0.2775,22.0,17.0,17.0,17.0,20.0,17.0
1403bba4-a5a7-1404-2dac-5b4f7205a28e,3,3,5,0.385875,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
e2ac8652-cb50-f310-9df0-2512518fc263,56,56,5,0.9999721131250854,19.0,15.0,15.0,14.0,19.0,14.0
f6dead42-1d74-9ad4-d2a9-f296d49bb02c,3,3,5,0.385875,18.0,14.0,13.0,13.0,17.0,13.0
d2137dbc-686f-4e8c-974e-da3095d24380,2,2,4,0.2775,27.0,21.0,19.0,20.0,25.0,19.0
f5b69bd4-989f-0349-6e74-38fb89e2ff9a,9,9,5,0.7683830537167969,20.0,13.0,11.0,13.0,18.0,11.0
4178ebb7-37f6-a9f6-8925-1046e1088fc6,2,2,4,0.2775,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
43399141-b534-4934-84c6-3a1ce06b1325,3,3,5,0.385875,18.0,12.0,12.0,11.0,15.0,11.0
8ca62567-0565-6dc6-6b7a-1259d6ce9326,3,3,5,0.385875,16.0,12.0,12.0,11.0,15.0,11.0
